Name: Hope Street, Instruction: Head west on Hope Street, Distance: 196.5 meters, Time: 141.5 seconds
Name: Nairn Avenue, Instruction: Turn right onto Nairn Avenue, Distance: 191.2 meters, Time: 137.6 seconds
Name: -, Instruction: Turn left, Distance: 100.5 meters, Time: 72.3 seconds
Name: Harvie Avenue, Instruction: Turn right onto Harvie Avenue, Distance: 39.6 meters, Time: 28.5 seconds
Name: -, Instruction: Turn left, Distance: 4.8 meters, Time: 3.5 seconds
Name: -, Instruction: Turn right, Distance: 117.8 meters, Time: 84.8 seconds
Name: -, Instruction: Turn slight left, Distance: 302.2 meters, Time: 217.6 seconds
Name: -, Instruction: Keep right, Distance: 6.8 meters, Time: 4.9 seconds
Name: McRoberts Avenue, Instruction: Turn left onto McRoberts Avenue, Distance: 202.0 meters, Time: 145.5 seconds
Name: Innes Avenue, Instruction: Turn right onto Innes Avenue, Distance: 263.7 meters, Time: 189.8 seconds
Name: -, Instruction: Arrive at Innes Avenue, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
