Name: Gilbert Avenue, Instruction: Head north on Gilbert Avenue, Distance: 36.6 meters, Time: 26.4 seconds
Name: -, Instruction: Turn left, Distance: 5.3 meters, Time: 3.8 seconds
Name: -, Instruction: Turn right, Distance: 42.4 meters, Time: 30.5 seconds
Name: -, Instruction: Turn left, Distance: 84.7 meters, Time: 61.0 seconds
Name: -, Instruction: Turn left, Distance: 81.9 meters, Time: 59.0 seconds
Name: -, Instruction: Turn right, Distance: 19.1 meters, Time: 13.8 seconds
Name: -, Instruction: Turn left, Distance: 151.5 meters, Time: 109.1 seconds
Name: -, Instruction: Turn right, Distance: 23.5 meters, Time: 17.0 seconds
Name: -, Instruction: Turn right, Distance: 186.0 meters, Time: 133.9 seconds
Name: -, Instruction: Turn right, Distance: 18.9 meters, Time: 13.6 seconds
Name: -, Instruction: Turn left, Distance: 84.4 meters, Time: 60.8 seconds
Name: Carnarvon Street, Instruction: Turn left onto Carnarvon Street, Distance: 111.4 meters, Time: 80.2 seconds
Name: Woodborough Avenue, Instruction: Turn left onto Woodborough Avenue, Distance: 242.1 meters, Time: 174.3 seconds
Name: Castlefield Avenue, Instruction: Turn right onto Castlefield Avenue, Distance: 86.5 meters, Time: 62.3 seconds
Name: -, Instruction: Turn left, Distance: 7.1 meters, Time: 5.1 seconds
Name: -, Instruction: Turn slight right, Distance: 60.9 meters, Time: 43.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
