Head north on Gilbert Avenue on Gilbert Avenue, continue for 36.6 meters and taking about 26.4 seconds.
Turn left, continue for 5.3 meters and taking about 3.8 seconds.
Turn right, continue for 42.4 meters and taking about 30.5 seconds.
Turn left, continue for 84.7 meters and taking about 61.0 seconds.
Turn left, continue for 81.9 meters and taking about 59.0 seconds.
Turn right, continue for 19.1 meters and taking about 13.8 seconds.
Turn left, continue for 151.5 meters and taking about 109.1 seconds.
Turn right, continue for 23.5 meters and taking about 17.0 seconds.
Turn right, continue for 186.0 meters and taking about 133.9 seconds.
Turn right, continue for 18.9 meters and taking about 13.6 seconds.
Turn left, continue for 84.4 meters and taking about 60.8 seconds.
Turn left onto Carnarvon Street on Carnarvon Street, continue for 111.4 meters and taking about 80.2 seconds.
Turn left onto Woodborough Avenue on Woodborough Avenue, continue for 242.1 meters and taking about 174.3 seconds.
Turn right onto Castlefield Avenue on Castlefield Avenue, continue for 86.5 meters and taking about 62.3 seconds.
Turn left, continue for 7.1 meters and taking about 5.1 seconds.
Turn slight right, continue for 60.9 meters and taking about 43.9 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
