Name: Bernard Avenue, Instruction: Head west on Bernard Avenue, Distance: 188.7 meters, Time: 135.9 seconds
Name: -, Instruction: Turn left, Distance: 55.8 meters, Time: 40.2 seconds
Name: -, Instruction: Turn right, Distance: 11.7 meters, Time: 8.4 seconds
Name: -, Instruction: Turn left, Distance: 5.5 meters, Time: 3.9 seconds
Name: Wells Street, Instruction: Turn right onto Wells Street, Distance: 106.9 meters, Time: 76.9 seconds
Name: -, Instruction: Turn left, Distance: 3.5 meters, Time: 2.5 seconds
Name: -, Instruction: Turn right, Distance: 201.6 meters, Time: 145.1 seconds
Name: -, Instruction: Turn slight right, Distance: 101.7 meters, Time: 73.2 seconds
Name: -, Instruction: Turn right, Distance: 16.3 meters, Time: 11.7 seconds
Name: -, Instruction: Turn left, Distance: 41.1 meters, Time: 29.6 seconds
Name: -, Instruction: Turn right, Distance: 39.1 meters, Time: 28.2 seconds
Name: Max Hartstone Lane, Instruction: Turn left onto Max Hartstone Lane, Distance: 172.8 meters, Time: 124.4 seconds
Name: -, Instruction: Turn right, Distance: 44.3 meters, Time: 31.9 seconds
Name: -, Instruction: Turn left, Distance: 4.5 meters, Time: 3.2 seconds
Name: Barton Avenue, Instruction: Turn right onto Barton Avenue, Distance: 55.3 meters, Time: 39.8 seconds
Name: Saint Peter's Lane, Instruction: Turn left onto Saint Peter's Lane, Distance: 65.9 meters, Time: 47.4 seconds
Name: Palmerston Square, Instruction: Turn left onto Palmerston Square, Distance: 103.2 meters, Time: 74.3 seconds
Name: -, Instruction: Turn left, Distance: 87.4 meters, Time: 63.0 seconds
Name: Rae Davis Lane, Instruction: Turn left onto Rae Davis Lane, Distance: 9.2 meters, Time: 6.6 seconds
Name: -, Instruction: Turn right, Distance: 46.0 meters, Time: 33.1 seconds
Name: -, Instruction: Turn left, Distance: 1.3 meters, Time: 0.9 seconds
Name: -, Instruction: Turn slight left, Distance: 113.5 meters, Time: 81.7 seconds
Name: Oscar Ryan Lane, Instruction: Turn right onto Oscar Ryan Lane, Distance: 4.1 meters, Time: 2.9 seconds
Name: Euclid Avenue, Instruction: Turn left onto Euclid Avenue, Distance: 193.6 meters, Time: 139.4 seconds
Name: -, Instruction: Turn right, Distance: 50.7 meters, Time: 36.5 seconds
Name: -, Instruction: Turn left, Distance: 9.5 meters, Time: 6.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
