Head west on Bernard Avenue on Bernard Avenue, continue for 188.7 meters and taking about 135.9 seconds.
Turn left, continue for 55.8 meters and taking about 40.2 seconds.
Turn right, continue for 11.7 meters and taking about 8.4 seconds.
Turn left, continue for 5.5 meters and taking about 3.9 seconds.
Turn right onto Wells Street on Wells Street, continue for 106.9 meters and taking about 76.9 seconds.
Turn left, continue for 3.5 meters and taking about 2.5 seconds.
Turn right, continue for 201.6 meters and taking about 145.1 seconds.
Turn slight right, continue for 101.7 meters and taking about 73.2 seconds.
Turn right, continue for 16.3 meters and taking about 11.7 seconds.
Turn left, continue for 41.1 meters and taking about 29.6 seconds.
Turn right, continue for 39.1 meters and taking about 28.2 seconds.
Turn left onto Max Hartstone Lane on Max Hartstone Lane, continue for 172.8 meters and taking about 124.4 seconds.
Turn right, continue for 44.3 meters and taking about 31.9 seconds.
Turn left, continue for 4.5 meters and taking about 3.2 seconds.
Turn right onto Barton Avenue on Barton Avenue, continue for 55.3 meters and taking about 39.8 seconds.
Turn left onto Saint Peter's Lane on Saint Peter's Lane, continue for 65.9 meters and taking about 47.4 seconds.
Turn left onto Palmerston Square on Palmerston Square, continue for 103.2 meters and taking about 74.3 seconds.
Turn left, continue for 87.4 meters and taking about 63.0 seconds.
Turn left onto Rae Davis Lane on Rae Davis Lane, continue for 9.2 meters and taking about 6.6 seconds.
Turn right, continue for 46.0 meters and taking about 33.1 seconds.
Turn left, continue for 1.3 meters and taking about 0.9 seconds.
Turn slight left, continue for 113.5 meters and taking about 81.7 seconds.
Turn right onto Oscar Ryan Lane on Oscar Ryan Lane, continue for 4.1 meters and taking about 2.9 seconds.
Turn left onto Euclid Avenue on Euclid Avenue, continue for 193.6 meters and taking about 139.4 seconds.
Turn right, continue for 50.7 meters and taking about 36.5 seconds.
Turn left, continue for 9.5 meters and taking about 6.8 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
