Name: Hillsdale Avenue West, Instruction: Head east on Hillsdale Avenue West, Distance: 109.0 meters, Time: 78.5 seconds
Name: -, Instruction: Turn right, Distance: 77.8 meters, Time: 56.0 seconds
Name: -, Instruction: Turn left, Distance: 127.4 meters, Time: 91.7 seconds
Name: -, Instruction: Continue straight, Distance: 38.0 meters, Time: 27.4 seconds
Name: -, Instruction: Turn right, Distance: 64.6 meters, Time: 46.5 seconds
Name: -, Instruction: Turn right, Distance: 4.9 meters, Time: 3.5 seconds
Name: Manor Road East, Instruction: Turn left onto Manor Road East, Distance: 1184.7 meters, Time: 853.0 seconds
Name: -, Instruction: Turn right, Distance: 4.6 meters, Time: 3.3 seconds
Name: -, Instruction: Turn left, Distance: 196.1 meters, Time: 141.2 seconds
Name: -, Instruction: Keep left, Distance: 97.1 meters, Time: 69.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
