Name: Cyrill Lane, Instruction: Head north on Cyrill Lane, Distance: 4.4 meters, Time: 3.2 seconds
Name: Ulster Street, Instruction: Turn right onto Ulster Street, Distance: 150.8 meters, Time: 108.6 seconds
Name: Major Street, Instruction: Turn left onto Major Street, Distance: 151.4 meters, Time: 109.0 seconds
Name: Kosower Lane, Instruction: Turn right onto Kosower Lane, Distance: 145.2 meters, Time: 104.6 seconds
Name: Sussex Mews, Instruction: Turn right onto Sussex Mews, Distance: 148.7 meters, Time: 107.0 seconds
Name: -, Instruction: Turn left, Distance: 65.6 meters, Time: 47.3 seconds
Name: -, Instruction: Turn right, Distance: 17.1 meters, Time: 12.3 seconds
Name: -, Instruction: Turn left, Distance: 29.8 meters, Time: 21.5 seconds
Name: -, Instruction: Turn right, Distance: 199.0 meters, Time: 143.3 seconds
Name: -, Instruction: Turn left, Distance: 87.8 meters, Time: 63.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
