Head north, continue for 10.1 meters and taking about 7.3 seconds.
Turn left, continue for 251.4 meters and taking about 181.0 seconds.
Turn slight left, continue for 87.6 meters and taking about 63.0 seconds.
Turn right, continue for 2.0 meters and taking about 1.4 seconds.
Turn left, continue for 17.3 meters and taking about 12.4 seconds.
Turn right, continue for 34.3 meters and taking about 24.7 seconds.
Turn left, continue for 256.2 meters and taking about 184.4 seconds.
Turn sharp right, continue for 174.6 meters and taking about 125.7 seconds.
Turn right, continue for 44.3 meters and taking about 31.9 seconds.
Turn left, continue for 99.5 meters and taking about 71.7 seconds.
Turn right, continue for 4.8 meters and taking about 3.4 seconds.
Turn left onto Harriet Street on Harriet Street, continue for 7.2 meters and taking about 5.2 seconds.
Turn right onto Leslie Street on Leslie Street, continue for 4.1 meters and taking about 3.0 seconds.
Turn left, continue for 4.5 meters and taking about 3.2 seconds.
Turn right, continue for 39.8 meters and taking about 28.6 seconds.
Turn left, continue for 102.2 meters and taking about 73.6 seconds.
Turn right onto Bushell Avenue on Bushell Avenue, continue for 4.4 meters and taking about 3.2 seconds.
Turn left onto Myrtle Avenue on Myrtle Avenue, continue for 98.1 meters and taking about 70.7 seconds.
Turn right, continue for 123.2 meters and taking about 88.7 seconds.
Turn left, continue for 17.1 meters and taking about 12.3 seconds.
Turn right, continue for 3.9 meters and taking about 2.8 seconds.
Keep left, continue for 89.8 meters and taking about 64.6 seconds.
Turn right, continue for 14.5 meters and taking about 10.4 seconds.
Turn slight right, continue for 419.9 meters and taking about 302.3 seconds.
Turn left, continue for 20.5 meters and taking about 14.7 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
