Name: Thomas McClintock Lane, Instruction: Head south on Thomas McClintock Lane, Distance: 37.6 meters, Time: 27.1 seconds
Name: Antonios Mavrakakis Lane, Instruction: Turn left onto Antonios Mavrakakis Lane, Distance: 46.5 meters, Time: 33.5 seconds
Name: -, Instruction: Turn right, Distance: 29.6 meters, Time: 21.3 seconds
Name: -, Instruction: Turn left, Distance: 67.6 meters, Time: 48.7 seconds
Name: -, Instruction: Turn right, Distance: 19.9 meters, Time: 14.3 seconds
Name: -, Instruction: Turn left, Distance: 3.4 meters, Time: 2.4 seconds
Name: -, Instruction: Keep right, Distance: 168.5 meters, Time: 121.3 seconds
Name: -, Instruction: Turn left, Distance: 4.7 meters, Time: 3.4 seconds
Name: Carlaw Avenue, Instruction: Turn right onto Carlaw Avenue, Distance: 620.7 meters, Time: 446.9 seconds
Name: Withrow Avenue, Instruction: Turn left onto Withrow Avenue, Distance: 7.7 meters, Time: 5.5 seconds
Name: -, Instruction: Turn right, Distance: 6.0 meters, Time: 4.3 seconds
Name: -, Instruction: Turn slight right, Distance: 2.6 meters, Time: 1.9 seconds
Name: -, Instruction: Turn slight left, Distance: 84.6 meters, Time: 60.9 seconds
Name: -, Instruction: Turn right, Distance: 114.6 meters, Time: 82.5 seconds
Name: -, Instruction: Keep right, Distance: 302.2 meters, Time: 217.6 seconds
Name: -, Instruction: Keep right, Distance: 21.2 meters, Time: 15.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
