Name: Ashdale Avenue, Instruction: Head north on Ashdale Avenue, Distance: 48.2 meters, Time: 34.7 seconds
Name: -, Instruction: Turn left, Distance: 4.9 meters, Time: 3.6 seconds
Name: -, Instruction: Turn right, Distance: 11.5 meters, Time: 8.3 seconds
Name: -, Instruction: Turn left, Distance: 86.0 meters, Time: 62.0 seconds
Name: Hiawatha Road, Instruction: Turn right onto Hiawatha Road, Distance: 306.2 meters, Time: 220.5 seconds
Name: Walpole Avenue, Instruction: Turn left onto Walpole Avenue, Distance: 75.5 meters, Time: 54.4 seconds
Name: -, Instruction: Turn right, Distance: 6.3 meters, Time: 4.6 seconds
Name: -, Instruction: Turn left, Distance: 5.6 meters, Time: 4.0 seconds
Name: Woodfield Road, Instruction: Turn right onto Woodfield Road, Distance: 107.1 meters, Time: 77.1 seconds
Name: Monarch Park Crossing, Instruction: Turn left onto Monarch Park Crossing, Distance: 101.8 meters, Time: 73.3 seconds
Name: -, Instruction: Keep left, Distance: 55.7 meters, Time: 40.1 seconds
Name: -, Instruction: Continue straight, Distance: 191.8 meters, Time: 138.1 seconds
Name: -, Instruction: Turn left, Distance: 16.0 meters, Time: 11.5 seconds
Name: -, Instruction: Turn right, Distance: 5.5 meters, Time: 4.0 seconds
Name: Felstead Avenue, Instruction: Turn left onto Felstead Avenue, Distance: 30.0 meters, Time: 21.6 seconds
Name: Lamb Avenue, Instruction: Turn right onto Lamb Avenue, Distance: 369.2 meters, Time: 265.8 seconds
Name: -, Instruction: Turn left, Distance: 7.2 meters, Time: 5.2 seconds
Name: -, Instruction: Turn right, Distance: 26.6 meters, Time: 19.1 seconds
Name: -, Instruction: Turn left, Distance: 19.2 meters, Time: 13.8 seconds
Name: -, Instruction: Turn right, Distance: 20.1 meters, Time: 14.5 seconds
Name: -, Instruction: Turn left, Distance: 1.8 meters, Time: 1.3 seconds
Name: -, Instruction: Keep right, Distance: 35.2 meters, Time: 25.3 seconds
Name: -, Instruction: Turn left, Distance: 10.5 meters, Time: 7.5 seconds
Name: -, Instruction: Turn right, Distance: 19.5 meters, Time: 14.1 seconds
Name: -, Instruction: Turn left, Distance: 4.7 meters, Time: 3.4 seconds
Name: -, Instruction: Arrive at your destination, on the left, Distance: 0.0 meters, Time: 0.0 seconds
