Head north on Ashdale Avenue on Ashdale Avenue, continue for 48.2 meters and taking about 34.7 seconds.
Turn left, continue for 4.9 meters and taking about 3.6 seconds.
Turn right, continue for 11.5 meters and taking about 8.3 seconds.
Turn left, continue for 86.0 meters and taking about 62.0 seconds.
Turn right onto Hiawatha Road on Hiawatha Road, continue for 306.2 meters and taking about 220.5 seconds.
Turn left onto Walpole Avenue on Walpole Avenue, continue for 75.5 meters and taking about 54.4 seconds.
Turn right, continue for 6.3 meters and taking about 4.6 seconds.
Turn left, continue for 5.6 meters and taking about 4.0 seconds.
Turn right onto Woodfield Road on Woodfield Road, continue for 107.1 meters and taking about 77.1 seconds.
Turn left onto Monarch Park Crossing on Monarch Park Crossing, continue for 101.8 meters and taking about 73.3 seconds.
Keep left, continue for 55.7 meters and taking about 40.1 seconds.
Continue straight, continue for 191.8 meters and taking about 138.1 seconds.
Turn left, continue for 16.0 meters and taking about 11.5 seconds.
Turn right, continue for 5.5 meters and taking about 4.0 seconds.
Turn left onto Felstead Avenue on Felstead Avenue, continue for 30.0 meters and taking about 21.6 seconds.
Turn right onto Lamb Avenue on Lamb Avenue, continue for 369.2 meters and taking about 265.8 seconds.
Turn left, continue for 7.2 meters and taking about 5.2 seconds.
Turn right, continue for 26.6 meters and taking about 19.1 seconds.
Turn left, continue for 19.2 meters and taking about 13.8 seconds.
Turn right, continue for 20.1 meters and taking about 14.5 seconds.
Turn left, continue for 1.8 meters and taking about 1.3 seconds.
Keep right, continue for 35.2 meters and taking about 25.3 seconds.
Turn left, continue for 10.5 meters and taking about 7.5 seconds.
Turn right, continue for 19.5 meters and taking about 14.1 seconds.
Turn left, continue for 4.7 meters and taking about 3.4 seconds.
Arrive at your destination, on the left, continue for 0.0 meters and taking about 0.0 seconds.
