Name: Cowan Avenue, Instruction: Head south on Cowan Avenue, Distance: 8.6 meters, Time: 6.2 seconds
Name: -, Instruction: Turn right, Distance: 7.0 meters, Time: 5.0 seconds
Name: -, Instruction: Turn sharp left, Distance: 81.7 meters, Time: 58.8 seconds
Name: -, Instruction: Keep right, Distance: 95.8 meters, Time: 69.0 seconds
Name: -, Instruction: Turn right, Distance: 23.0 meters, Time: 16.6 seconds
Name: -, Instruction: Keep left, Distance: 47.6 meters, Time: 34.3 seconds
Name: -, Instruction: Turn left, Distance: 177.1 meters, Time: 127.5 seconds
Name: -, Instruction: Turn sharp right, Distance: 122.3 meters, Time: 88.1 seconds
Name: -, Instruction: Keep left, Distance: 325.1 meters, Time: 234.1 seconds
Name: -, Instruction: Turn slight right, Distance: 1.5 meters, Time: 1.1 seconds
Name: -, Instruction: Keep left, Distance: 14.4 meters, Time: 10.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
