Name: Eastview Path, Instruction: Head south on Eastview Path, Distance: 308.6 meters, Time: 222.2 seconds
Name: -, Instruction: Turn left, Distance: 98.8 meters, Time: 71.1 seconds
Name: -, Instruction: Turn right, Distance: 106.9 meters, Time: 77.0 seconds
Name: -, Instruction: Turn slight left, Distance: 14.5 meters, Time: 10.4 seconds
Name: -, Instruction: Turn left, Distance: 93.6 meters, Time: 67.4 seconds
Name: -, Instruction: Turn left, Distance: 17.1 meters, Time: 12.3 seconds
Name: -, Instruction: Turn right, Distance: 123.2 meters, Time: 88.7 seconds
Name: Myrtle Avenue, Instruction: Turn left onto Myrtle Avenue, Distance: 98.1 meters, Time: 70.7 seconds
Name: Bushell Avenue, Instruction: Turn right onto Bushell Avenue, Distance: 4.4 meters, Time: 3.2 seconds
Name: -, Instruction: Turn left, Distance: 102.2 meters, Time: 73.6 seconds
Name: -, Instruction: Turn right, Distance: 151.4 meters, Time: 109.0 seconds
Name: -, Instruction: Turn left, Distance: 4.4 meters, Time: 3.1 seconds
Name: Leslie Street, Instruction: Turn right onto Leslie Street, Distance: 118.6 meters, Time: 85.4 seconds
Name: -, Instruction: Turn left, Distance: 81.6 meters, Time: 58.8 seconds
Name: -, Instruction: Keep left, Distance: 7.8 meters, Time: 5.6 seconds
Name: Hastings Avenue, Instruction: Turn right onto Hastings Avenue, Distance: 74.8 meters, Time: 53.8 seconds
Name: Stanton Avenue, Instruction: Turn left onto Stanton Avenue, Distance: 7.5 meters, Time: 5.4 seconds
Name: -, Instruction: Turn right, Distance: 5.7 meters, Time: 4.1 seconds
Name: -, Instruction: Turn left, Distance: 66.9 meters, Time: 48.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
