Name: Dovercourt Road, Instruction: Head south on Dovercourt Road, Distance: 232.7 meters, Time: 167.6 seconds
Name: Mackenzie Crescent, Instruction: Turn right onto Mackenzie Crescent, Distance: 50.4 meters, Time: 36.3 seconds
Name: -, Instruction: Turn left, Distance: 135.4 meters, Time: 97.5 seconds
Name: -, Instruction: Turn right, Distance: 51.5 meters, Time: 37.1 seconds
Name: Lisgar Street, Instruction: Turn left onto Lisgar Street, Distance: 8.3 meters, Time: 6.0 seconds
Name: -, Instruction: Turn right, Distance: 4.5 meters, Time: 3.2 seconds
Name: -, Instruction: Turn left, Distance: 35.3 meters, Time: 25.4 seconds
Name: -, Instruction: Turn right, Distance: 237.0 meters, Time: 170.6 seconds
Name: Antonio Lopes Lane, Instruction: Turn left onto Antonio Lopes Lane, Distance: 3.7 meters, Time: 2.7 seconds
Name: Argyle Street, Instruction: Turn right onto Argyle Street, Distance: 47.8 meters, Time: 34.4 seconds
Name: Gladstone Avenue, Instruction: Turn left onto Gladstone Avenue, Distance: 34.3 meters, Time: 24.7 seconds
Name: Alma Avenue, Instruction: Turn right onto Alma Avenue, Distance: 47.4 meters, Time: 34.1 seconds
Name: -, Instruction: Turn left, Distance: 4.4 meters, Time: 3.2 seconds
Name: -, Instruction: Turn right, Distance: 69.8 meters, Time: 50.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
