Name: Sandford Avenue, Instruction: Head east on Sandford Avenue, Distance: 150.0 meters, Time: 108.0 seconds
Name: -, Instruction: Turn left, Distance: 4.6 meters, Time: 3.3 seconds
Name: -, Instruction: Turn right, Distance: 52.0 meters, Time: 37.5 seconds
Name: -, Instruction: Turn slight left, Distance: 80.4 meters, Time: 57.9 seconds
Name: -, Instruction: Keep right, Distance: 94.8 meters, Time: 68.2 seconds
Name: -, Instruction: Keep right, Distance: 733.8 meters, Time: 528.3 seconds
Name: -, Instruction: Turn slight right, Distance: 80.7 meters, Time: 58.1 seconds
Name: -, Instruction: Keep left, Distance: 41.8 meters, Time: 30.1 seconds
Name: -, Instruction: Turn right, Distance: 59.7 meters, Time: 43.0 seconds
Name: -, Instruction: Turn left, Distance: 138.0 meters, Time: 99.4 seconds
Name: -, Instruction: Turn right, Distance: 39.5 meters, Time: 28.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
