Name: Dinnick Crescent, Instruction: Head northwest on Dinnick Crescent, Distance: 228.8 meters, Time: 164.8 seconds
Name: St Edmund's Drive, Instruction: Continue straight onto St Edmund's Drive, Distance: 112.9 meters, Time: 81.3 seconds
Name: St Edmund's Drive, Instruction: Turn right onto St Edmund's Drive, Distance: 51.7 meters, Time: 37.2 seconds
Name: -, Instruction: Turn left, Distance: 268.4 meters, Time: 193.3 seconds
Name: Glengrove Avenue East, Instruction: Turn right onto Glengrove Avenue East, Distance: 24.5 meters, Time: 17.7 seconds
Name: -, Instruction: Turn left, Distance: 311.3 meters, Time: 224.1 seconds
Name: -, Instruction: Turn right, Distance: 65.1 meters, Time: 46.8 seconds
Name: -, Instruction: Turn right, Distance: 344.3 meters, Time: 247.9 seconds
Name: Heather Street, Instruction: Turn left onto Heather Street, Distance: 10.1 meters, Time: 7.2 seconds
Name: -, Instruction: Turn right, Distance: 171.9 meters, Time: 123.8 seconds
Name: -, Instruction: Keep left, Distance: 85.5 meters, Time: 61.5 seconds
Name: -, Instruction: Keep right, Distance: 12.2 meters, Time: 8.8 seconds
Name: Craighurst Avenue, Instruction: Turn right onto Craighurst Avenue, Distance: 3.7 meters, Time: 2.6 seconds
Name: Rosewell Avenue, Instruction: Turn left onto Rosewell Avenue, Distance: 51.5 meters, Time: 37.1 seconds
Name: Cortleigh Boulevard, Instruction: Turn right onto Cortleigh Boulevard, Distance: 204.3 meters, Time: 147.1 seconds
Name: Cortleigh Crescent, Instruction: Turn sharp left onto Cortleigh Crescent, Distance: 52.1 meters, Time: 37.5 seconds
Name: -, Instruction: Arrive at Cortleigh Crescent, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
