Name: Joe Bertucci Lane, Instruction: Head south on Joe Bertucci Lane, Distance: 7.0 meters, Time: 5.1 seconds
Name: -, Instruction: Turn right, Distance: 41.3 meters, Time: 29.7 seconds
Name: -, Instruction: Turn slight left, Distance: 314.0 meters, Time: 226.1 seconds
Name: -, Instruction: Turn slight left, Distance: 1.7 meters, Time: 1.2 seconds
Name: -, Instruction: Turn right, Distance: 149.3 meters, Time: 107.5 seconds
Name: -, Instruction: Turn right, Distance: 14.6 meters, Time: 10.5 seconds
Name: -, Instruction: Turn left, Distance: 259.4 meters, Time: 186.8 seconds
Name: -, Instruction: Turn right, Distance: 130.6 meters, Time: 94.0 seconds
Name: Hepbourne Street, Instruction: Turn left onto Hepbourne Street, Distance: 443.6 meters, Time: 319.4 seconds
Name: -, Instruction: Turn right, Distance: 4.8 meters, Time: 3.5 seconds
Name: -, Instruction: Turn slight left, Distance: 8.6 meters, Time: 6.2 seconds
Name: -, Instruction: Turn slight right, Distance: 45.1 meters, Time: 32.5 seconds
Name: -, Instruction: Turn right, Distance: 13.8 meters, Time: 9.9 seconds
Name: -, Instruction: Turn sharp right, Distance: 9.5 meters, Time: 6.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
