Name: Salisbury Avenue, Instruction: Head southwest on Salisbury Avenue, Distance: 124.1 meters, Time: 89.4 seconds
Name: -, Instruction: Turn left, Distance: 9.7 meters, Time: 7.0 seconds
Name: -, Instruction: Turn left, Distance: 83.7 meters, Time: 60.2 seconds
Name: -, Instruction: Keep left, Distance: 74.0 meters, Time: 53.3 seconds
Name: Millington Street, Instruction: Turn right onto Millington Street, Distance: 2.9 meters, Time: 2.1 seconds
Name: Metcalfe Street, Instruction: Turn left onto Metcalfe Street, Distance: 75.3 meters, Time: 54.2 seconds
Name: -, Instruction: Turn right, Distance: 5.8 meters, Time: 4.2 seconds
Name: -, Instruction: Turn slight left, Distance: 61.2 meters, Time: 44.0 seconds
Name: Broadcast Lane, Instruction: Turn left onto Broadcast Lane, Distance: 9.5 meters, Time: 6.9 seconds
Name: -, Instruction: Turn right, Distance: 37.1 meters, Time: 26.7 seconds
Name: -, Instruction: Turn left, Distance: 275.9 meters, Time: 198.6 seconds
Name: -, Instruction: Keep right, Distance: 141.1 meters, Time: 101.6 seconds
Name: -, Instruction: Turn right, Distance: 16.3 meters, Time: 11.7 seconds
Name: -, Instruction: Turn left, Distance: 15.3 meters, Time: 11.0 seconds
Name: -, Instruction: Turn right, Distance: 142.9 meters, Time: 102.9 seconds
Name: Berkeley Street, Instruction: Turn left onto Berkeley Street, Distance: 30.5 meters, Time: 22.0 seconds
Name: Callaghan Lane, Instruction: Turn right onto Callaghan Lane, Distance: 4.2 meters, Time: 3.0 seconds
Name: -, Instruction: Turn left, Distance: 43.9 meters, Time: 31.6 seconds
Name: -, Instruction: Turn right, Distance: 94.2 meters, Time: 67.8 seconds
Name: Ontario Street, Instruction: Turn left onto Ontario Street, Distance: 19.6 meters, Time: 14.1 seconds
Name: -, Instruction: Turn right, Distance: 197.6 meters, Time: 142.2 seconds
Name: -, Instruction: Turn left, Distance: 228.9 meters, Time: 164.8 seconds
Name: -, Instruction: Turn right, Distance: 15.8 meters, Time: 11.4 seconds
Name: -, Instruction: Turn left, Distance: 2.4 meters, Time: 1.7 seconds
Name: -, Instruction: Turn slight left, Distance: 271.0 meters, Time: 195.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
