Name: Sixplay, Instruction: Head west on Sixplay, Distance: 130.2 meters, Time: 93.7 seconds
Name: -, Instruction: Turn slight right, Distance: 62.9 meters, Time: 45.3 seconds
Name: -, Instruction: Turn slight right, Distance: 74.3 meters, Time: 53.5 seconds
Name: Armistice Drive, Instruction: Turn right onto Armistice Drive, Distance: 25.3 meters, Time: 18.2 seconds
Name: Armistice Drive, Instruction: Keep right onto Armistice Drive, Distance: 86.7 meters, Time: 62.4 seconds
Name: -, Instruction: Turn left, Distance: 108.9 meters, Time: 78.4 seconds
Name: -, Instruction: Turn right, Distance: 20.7 meters, Time: 14.9 seconds
Name: -, Instruction: Turn left, Distance: 33.3 meters, Time: 24.0 seconds
Name: -, Instruction: Turn right, Distance: 56.8 meters, Time: 40.9 seconds
Name: -, Instruction: Turn right, Distance: 22.4 meters, Time: 16.1 seconds
Name: -, Instruction: Turn left, Distance: 10.3 meters, Time: 7.4 seconds
Name: -, Instruction: Turn right, Distance: 58.8 meters, Time: 42.3 seconds
Name: -, Instruction: Turn left, Distance: 13.1 meters, Time: 9.4 seconds
Name: -, Instruction: Turn right, Distance: 4.6 meters, Time: 3.3 seconds
Name: -, Instruction: Keep left, Distance: 12.1 meters, Time: 8.7 seconds
Name: -, Instruction: Turn left, Distance: 8.1 meters, Time: 5.8 seconds
Name: -, Instruction: Turn right, Distance: 6.3 meters, Time: 4.5 seconds
Name: Wellness Way, Instruction: Turn left onto Wellness Way, Distance: 83.6 meters, Time: 60.2 seconds
Name: Wellness Way, Instruction: Keep right onto Wellness Way, Distance: 112.1 meters, Time: 80.7 seconds
Name: -, Instruction: Turn left, Distance: 256.9 meters, Time: 185.0 seconds
Name: -, Instruction: Turn left, Distance: 11.6 meters, Time: 8.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
