Head west on Sixplay on Sixplay, continue for 130.2 meters and taking about 93.7 seconds.
Turn slight right, continue for 62.9 meters and taking about 45.3 seconds.
Turn slight right, continue for 74.3 meters and taking about 53.5 seconds.
Turn right onto Armistice Drive on Armistice Drive, continue for 25.3 meters and taking about 18.2 seconds.
Keep right onto Armistice Drive on Armistice Drive, continue for 86.7 meters and taking about 62.4 seconds.
Turn left, continue for 108.9 meters and taking about 78.4 seconds.
Turn right, continue for 20.7 meters and taking about 14.9 seconds.
Turn left, continue for 33.3 meters and taking about 24.0 seconds.
Turn right, continue for 56.8 meters and taking about 40.9 seconds.
Turn right, continue for 22.4 meters and taking about 16.1 seconds.
Turn left, continue for 10.3 meters and taking about 7.4 seconds.
Turn right, continue for 58.8 meters and taking about 42.3 seconds.
Turn left, continue for 13.1 meters and taking about 9.4 seconds.
Turn right, continue for 4.6 meters and taking about 3.3 seconds.
Keep left, continue for 12.1 meters and taking about 8.7 seconds.
Turn left, continue for 8.1 meters and taking about 5.8 seconds.
Turn right, continue for 6.3 meters and taking about 4.5 seconds.
Turn left onto Wellness Way on Wellness Way, continue for 83.6 meters and taking about 60.2 seconds.
Keep right onto Wellness Way on Wellness Way, continue for 112.1 meters and taking about 80.7 seconds.
Turn left, continue for 256.9 meters and taking about 185.0 seconds.
Turn left, continue for 11.6 meters and taking about 8.4 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
