Name: Lake Shore Boulevard Recreational Trail, Instruction: Head northeast on Lake Shore Boulevard Recreational Trail, Distance: 97.9 meters, Time: 70.5 seconds
Name: -, Instruction: Turn left, Distance: 7.3 meters, Time: 5.3 seconds
Name: -, Instruction: Turn left, Distance: 136.9 meters, Time: 98.6 seconds
Name: -, Instruction: Turn right, Distance: 316.3 meters, Time: 227.7 seconds
Name: -, Instruction: Turn left, Distance: 1.6 meters, Time: 1.2 seconds
Name: -, Instruction: Turn right, Distance: 16.0 meters, Time: 11.5 seconds
Name: -, Instruction: Turn right, Distance: 4.9 meters, Time: 3.5 seconds
Name: -, Instruction: Turn left, Distance: 405.7 meters, Time: 292.1 seconds
Name: -, Instruction: Turn slight right, Distance: 188.1 meters, Time: 135.4 seconds
Name: -, Instruction: Keep right, Distance: 155.2 meters, Time: 111.8 seconds
Name: -, Instruction: Turn right, Distance: 17.4 meters, Time: 12.5 seconds
Name: -, Instruction: Keep right, Distance: 314.4 meters, Time: 226.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
