Head northeast on Lake Shore Boulevard Recreational Trail on Lake Shore Boulevard Recreational Trail, continue for 97.9 meters and taking about 70.5 seconds.
Turn left, continue for 7.3 meters and taking about 5.3 seconds.
Turn left, continue for 136.9 meters and taking about 98.6 seconds.
Turn right, continue for 316.3 meters and taking about 227.7 seconds.
Turn left, continue for 1.6 meters and taking about 1.2 seconds.
Turn right, continue for 16.0 meters and taking about 11.5 seconds.
Turn right, continue for 4.9 meters and taking about 3.5 seconds.
Turn left, continue for 405.7 meters and taking about 292.1 seconds.
Turn slight right, continue for 188.1 meters and taking about 135.4 seconds.
Keep right, continue for 155.2 meters and taking about 111.8 seconds.
Turn right, continue for 17.4 meters and taking about 12.5 seconds.
Keep right, continue for 314.4 meters and taking about 226.4 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
