Name: Irwin Avenue, Instruction: Head east on Irwin Avenue, Distance: 154.7 meters, Time: 111.4 seconds
Name: St Nicholas Street, Instruction: Turn right onto St Nicholas Street, Distance: 66.5 meters, Time: 47.9 seconds
Name: -, Instruction: Turn left, Distance: 3.9 meters, Time: 2.8 seconds
Name: -, Instruction: Turn right, Distance: 5.5 meters, Time: 4.0 seconds
Name: St. Joseph Street, Instruction: Turn left onto St. Joseph Street, Distance: 62.9 meters, Time: 45.3 seconds
Name: -, Instruction: Turn right, Distance: 249.1 meters, Time: 179.3 seconds
Name: Breadalbane Street, Instruction: Turn left onto Breadalbane Street, Distance: 16.7 meters, Time: 12.0 seconds
Name: -, Instruction: Turn right, Distance: 864.7 meters, Time: 622.6 seconds
Name: -, Instruction: Turn left, Distance: 1.7 meters, Time: 1.3 seconds
Name: -, Instruction: Turn sharp right, Distance: 13.3 meters, Time: 9.6 seconds
Name: -, Instruction: Keep left, Distance: 15.2 meters, Time: 10.9 seconds
Name: -, Instruction: Keep left, Distance: 31.6 meters, Time: 22.7 seconds
Name: -, Instruction: Turn right, Distance: 21.6 meters, Time: 15.6 seconds
Name: Escalator from Eaton Centre level 2 to 3, Instruction: Keep right onto Escalator from Eaton Centre level 2 to 3, Distance: 11.8 meters, Time: 8.5 seconds
Name: Eaton Centre level 2, Instruction: Turn sharp right onto Eaton Centre level 2, Distance: 11.6 meters, Time: 8.4 seconds
Name: Escalator from Eaton Centre level 1 to 2, Instruction: Turn sharp left onto Escalator from Eaton Centre level 1 to 2, Distance: 11.9 meters, Time: 8.6 seconds
Name: Eaton Centre level 1, Instruction: Continue straight onto Eaton Centre level 1, Distance: 9.6 meters, Time: 6.9 seconds
Name: Eaton Centre level 1, Instruction: Keep left onto Eaton Centre level 1, Distance: 43.9 meters, Time: 31.6 seconds
Name: -, Instruction: Arrive at Eaton Centre level 1, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
