Name: Windermere Avenue, Instruction: Head northwest on Windermere Avenue, Distance: 308.9 meters, Time: 222.4 seconds
Name: -, Instruction: Turn left, Distance: 6.2 meters, Time: 4.5 seconds
Name: -, Instruction: Turn right, Distance: 2.1 meters, Time: 1.5 seconds
Name: -, Instruction: Keep right, Distance: 5.5 meters, Time: 3.9 seconds
Name: Morningside Avenue, Instruction: Turn left onto Morningside Avenue, Distance: 588.0 meters, Time: 423.3 seconds
Name: -, Instruction: Turn slight right, Distance: 6.1 meters, Time: 4.4 seconds
Name: -, Instruction: Turn left, Distance: 31.7 meters, Time: 22.8 seconds
Name: Riverside Drive, Instruction: Turn left onto Riverside Drive, Distance: 52.0 meters, Time: 37.4 seconds
Name: Riverside Trail, Instruction: Turn right onto Riverside Trail, Distance: 258.3 meters, Time: 186.0 seconds
Name: Brule Gardens, Instruction: Turn right onto Brule Gardens, Distance: 44.2 meters, Time: 31.8 seconds
Name: -, Instruction: Arrive at Brule Gardens, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
