Name: Avonlea Boulevard, Instruction: Head north on Avonlea Boulevard, Distance: 59.5 meters, Time: 42.8 seconds
Name: -, Instruction: Turn right, Distance: 44.7 meters, Time: 32.2 seconds
Name: -, Instruction: Turn left, Distance: 5.0 meters, Time: 3.6 seconds
Name: Dentonia Park Avenue, Instruction: Turn right onto Dentonia Park Avenue, Distance: 254.2 meters, Time: 183.0 seconds
Name: Thyra Avenue, Instruction: Turn left onto Thyra Avenue, Distance: 108.0 meters, Time: 77.7 seconds
Name: -, Instruction: Keep right, Distance: 17.6 meters, Time: 12.7 seconds
Name: -, Instruction: Keep right, Distance: 33.7 meters, Time: 24.3 seconds
Name: -, Instruction: Turn right, Distance: 67.8 meters, Time: 48.8 seconds
Name: -, Instruction: Continue straight, Distance: 86.2 meters, Time: 62.1 seconds
Name: -, Instruction: Keep left, Distance: 15.5 meters, Time: 11.1 seconds
Name: -, Instruction: Turn right, Distance: 652.1 meters, Time: 469.5 seconds
Name: -, Instruction: Turn right, Distance: 160.4 meters, Time: 115.5 seconds
Name: Maybourne Avenue, Instruction: Turn right onto Maybourne Avenue, Distance: 124.5 meters, Time: 89.6 seconds
Name: -, Instruction: Keep right, Distance: 9.9 meters, Time: 7.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
