Name: Northline Road, Instruction: Head east on Northline Road, Distance: 50.7 meters, Time: 36.5 seconds
Name: -, Instruction: Turn right, Distance: 132.9 meters, Time: 95.7 seconds
Name: -, Instruction: Turn left, Distance: 19.8 meters, Time: 14.3 seconds
Name: -, Instruction: Turn left, Distance: 42.7 meters, Time: 30.8 seconds
Name: Wakunda Place, Instruction: Turn right onto Wakunda Place, Distance: 153.3 meters, Time: 110.4 seconds
Name: -, Instruction: Turn left, Distance: 8.5 meters, Time: 6.1 seconds
Name: -, Instruction: Turn right, Distance: 143.3 meters, Time: 103.2 seconds
Name: Parma Court, Instruction: Turn right onto Parma Court, Distance: 151.6 meters, Time: 109.2 seconds
Name: -, Instruction: Turn right, Distance: 160.8 meters, Time: 115.7 seconds
Name: -, Instruction: Keep left, Distance: 84.8 meters, Time: 61.1 seconds
Name: -, Instruction: Keep left, Distance: 13.6 meters, Time: 9.8 seconds
Name: -, Instruction: Turn slight left, Distance: 146.4 meters, Time: 105.4 seconds
Name: -, Instruction: Keep left, Distance: 466.4 meters, Time: 335.8 seconds
Name: -, Instruction: Keep left, Distance: 22.4 meters, Time: 16.1 seconds
Name: -, Instruction: Turn left, Distance: 264.9 meters, Time: 190.8 seconds
Name: -, Instruction: Turn right, Distance: 13.7 meters, Time: 9.8 seconds
Name: St Clair Avenue East, Instruction: Turn left onto St Clair Avenue East, Distance: 9.2 meters, Time: 6.6 seconds
Name: -, Instruction: Arrive at St Clair Avenue East, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
