Name: Wychwood Avenue, Instruction: Head northwest on Wychwood Avenue, Distance: 3.3 meters, Time: 2.4 seconds
Name: -, Instruction: Turn left, Distance: 6.1 meters, Time: 4.4 seconds
Name: -, Instruction: Keep left, Distance: 24.8 meters, Time: 17.9 seconds
Name: -, Instruction: Turn right, Distance: 113.3 meters, Time: 81.6 seconds
Name: -, Instruction: Turn left, Distance: 139.6 meters, Time: 100.5 seconds
Name: -, Instruction: Turn right, Distance: 67.3 meters, Time: 48.5 seconds
Name: -, Instruction: Turn sharp left, Distance: 7.3 meters, Time: 5.3 seconds
Name: Tyrrel Avenue, Instruction: Turn right onto Tyrrel Avenue, Distance: 189.2 meters, Time: 136.2 seconds
Name: Turner Road, Instruction: Turn left onto Turner Road, Distance: 89.7 meters, Time: 64.6 seconds
Name: Bracondale Hill Road, Instruction: Turn right onto Bracondale Hill Road, Distance: 85.6 meters, Time: 61.6 seconds
Name: Frank Crescent, Instruction: Turn left onto Frank Crescent, Distance: 7.0 meters, Time: 5.1 seconds
Name: -, Instruction: Turn right, Distance: 181.6 meters, Time: 130.8 seconds
Name: -, Instruction: Turn right, Distance: 2.1 meters, Time: 1.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
