Head south on Municipal Drive on Municipal Drive, continue for 215.5 meters and taking about 155.1 seconds.
Turn left, continue for 4.9 meters and taking about 3.5 seconds.
Turn right, continue for 91.4 meters and taking about 65.8 seconds.
Turn right, continue for 19.4 meters and taking about 14.0 seconds.
Turn right, continue for 8.4 meters and taking about 6.0 seconds.
Turn left onto Bicknell Avenue on Bicknell Avenue, continue for 733.5 meters and taking about 528.1 seconds.
Turn right, continue for 6.2 meters and taking about 4.5 seconds.
Turn slight left, continue for 3.7 meters and taking about 2.7 seconds.
Keep left, continue for 145.3 meters and taking about 104.6 seconds.
Turn right, continue for 11.3 meters and taking about 8.2 seconds.
Turn left, continue for 18.1 meters and taking about 13.0 seconds.
Turn right, continue for 11.9 meters and taking about 8.6 seconds.
Turn left, continue for 164.5 meters and taking about 118.4 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
