Name: Epworth Manse Lane, Instruction: Head east on Epworth Manse Lane, Distance: 95.9 meters, Time: 69.0 seconds
Name: -, Instruction: Turn right, Distance: 42.0 meters, Time: 30.2 seconds
Name: -, Instruction: Turn right, Distance: 5.7 meters, Time: 4.1 seconds
Name: Yarmouth Road, Instruction: Turn left onto Yarmouth Road, Distance: 90.4 meters, Time: 65.1 seconds
Name: -, Instruction: Turn right, Distance: 3.0 meters, Time: 2.2 seconds
Name: -, Instruction: Turn left, Distance: 13.0 meters, Time: 9.4 seconds
Name: -, Instruction: Turn right, Distance: 49.3 meters, Time: 35.5 seconds
Name: -, Instruction: Keep left, Distance: 189.0 meters, Time: 136.1 seconds
Name: -, Instruction: Turn right, Distance: 5.5 meters, Time: 4.0 seconds
Name: Palmerston Gardens, Instruction: Turn left onto Palmerston Gardens, Distance: 5.1 meters, Time: 3.7 seconds
Name: Palmerston Avenue, Instruction: Turn right onto Palmerston Avenue, Distance: 17.1 meters, Time: 12.3 seconds
Name: -, Instruction: Turn left, Distance: 118.8 meters, Time: 85.5 seconds
Name: -, Instruction: Turn right, Distance: 5.1 meters, Time: 3.6 seconds
Name: Olive Avenue, Instruction: Turn left onto Olive Avenue, Distance: 47.6 meters, Time: 34.3 seconds
Name: Max Hartstone Lane, Instruction: Turn right onto Max Hartstone Lane, Distance: 5.0 meters, Time: 3.6 seconds
Name: -, Instruction: Turn left, Distance: 38.5 meters, Time: 27.8 seconds
Name: -, Instruction: Turn slight right, Distance: 239.9 meters, Time: 172.7 seconds
Name: -, Instruction: Keep left, Distance: 169.5 meters, Time: 122.0 seconds
Name: -, Instruction: Keep left, Distance: 806.9 meters, Time: 581.0 seconds
Name: -, Instruction: Turn left, Distance: 9.8 meters, Time: 7.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
