Name: Arundel Avenue, Instruction: Head south on Arundel Avenue, Distance: 87.5 meters, Time: 63.0 seconds
Name: -, Instruction: Turn left, Distance: 5.3 meters, Time: 3.9 seconds
Name: -, Instruction: Turn right, Distance: 79.1 meters, Time: 57.0 seconds
Name: -, Instruction: Turn left, Distance: 72.8 meters, Time: 52.4 seconds
Name: -, Instruction: Turn right, Distance: 20.2 meters, Time: 14.6 seconds
Name: -, Instruction: Turn left, Distance: 1.8 meters, Time: 1.3 seconds
Name: -, Instruction: Turn right, Distance: 155.1 meters, Time: 111.7 seconds
Name: -, Instruction: Turn slight left, Distance: 196.5 meters, Time: 141.4 seconds
Name: -, Instruction: Turn slight left, Distance: 4.1 meters, Time: 2.9 seconds
Name: -, Instruction: Turn right, Distance: 87.1 meters, Time: 62.7 seconds
Name: -, Instruction: Keep left, Distance: 9.9 meters, Time: 7.2 seconds
Name: -, Instruction: Turn slight left, Distance: 160.0 meters, Time: 115.2 seconds
Name: Sparkhall Avenue, Instruction: Turn right onto Sparkhall Avenue, Distance: 145.4 meters, Time: 104.7 seconds
Name: -, Instruction: Arrive at Sparkhall Avenue, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
