Head south on Arundel Avenue on Arundel Avenue, continue for 87.5 meters and taking about 63.0 seconds.
Turn left, continue for 5.3 meters and taking about 3.9 seconds.
Turn right, continue for 79.1 meters and taking about 57.0 seconds.
Turn left, continue for 72.8 meters and taking about 52.4 seconds.
Turn right, continue for 20.2 meters and taking about 14.6 seconds.
Turn left, continue for 1.8 meters and taking about 1.3 seconds.
Turn right, continue for 155.1 meters and taking about 111.7 seconds.
Turn slight left, continue for 196.5 meters and taking about 141.4 seconds.
Turn slight left, continue for 4.1 meters and taking about 2.9 seconds.
Turn right, continue for 87.1 meters and taking about 62.7 seconds.
Keep left, continue for 9.9 meters and taking about 7.2 seconds.
Turn slight left, continue for 160.0 meters and taking about 115.2 seconds.
Turn right onto Sparkhall Avenue on Sparkhall Avenue, continue for 145.4 meters and taking about 104.7 seconds.
Arrive at Sparkhall Avenue, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
