Name: Quebec Avenue, Instruction: Head north on Quebec Avenue, Distance: 10.6 meters, Time: 7.6 seconds
Name: -, Instruction: Turn right, Distance: 146.9 meters, Time: 105.8 seconds
Name: -, Instruction: Turn left, Distance: 260.5 meters, Time: 187.5 seconds
Name: -, Instruction: Turn right, Distance: 7.6 meters, Time: 5.5 seconds
Name: -, Instruction: Turn left, Distance: 21.7 meters, Time: 15.6 seconds
Name: -, Instruction: Turn right, Distance: 7.7 meters, Time: 5.5 seconds
Name: -, Instruction: Keep left, Distance: 18.3 meters, Time: 13.2 seconds
Name: -, Instruction: Turn left, Distance: 42.2 meters, Time: 30.4 seconds
Name: -, Instruction: Turn right, Distance: 17.3 meters, Time: 12.5 seconds
Name: -, Instruction: Turn left, Distance: 27.5 meters, Time: 19.8 seconds
Name: -, Instruction: Keep right, Distance: 10.8 meters, Time: 7.8 seconds
Name: -, Instruction: Turn right, Distance: 38.6 meters, Time: 27.8 seconds
Name: -, Instruction: Turn left, Distance: 5.0 meters, Time: 3.6 seconds
Name: -, Instruction: Turn right, Distance: 7.3 meters, Time: 5.3 seconds
Name: Pacific Avenue, Instruction: Turn left onto Pacific Avenue, Distance: 254.5 meters, Time: 183.2 seconds
Name: Oakmount Road, Instruction: Turn right onto Oakmount Road, Distance: 213.0 meters, Time: 153.4 seconds
Name: -, Instruction: Turn right, Distance: 2.7 meters, Time: 2.0 seconds
Name: -, Instruction: Turn left, Distance: 37.6 meters, Time: 27.1 seconds
Name: -, Instruction: Turn right, Distance: 77.5 meters, Time: 55.8 seconds
Name: -, Instruction: Turn left, Distance: 6.6 meters, Time: 4.8 seconds
Name: Humberside Avenue, Instruction: Turn right onto Humberside Avenue, Distance: 105.5 meters, Time: 76.0 seconds
Name: -, Instruction: Turn left, Distance: 48.9 meters, Time: 35.2 seconds
Name: -, Instruction: Turn right, Distance: 16.8 meters, Time: 12.1 seconds
Name: -, Instruction: Keep left, Distance: 105.7 meters, Time: 76.1 seconds
Name: -, Instruction: Turn left, Distance: 20.6 meters, Time: 14.9 seconds
Name: -, Instruction: Turn right, Distance: 4.8 meters, Time: 3.5 seconds
Name: Indian Grove, Instruction: Turn left onto Indian Grove, Distance: 35.9 meters, Time: 25.9 seconds
Name: -, Instruction: Turn right, Distance: 199.7 meters, Time: 143.8 seconds
Name: -, Instruction: Turn right, Distance: 64.5 meters, Time: 46.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
