Head north on Quebec Avenue on Quebec Avenue, continue for 10.6 meters and taking about 7.6 seconds.
Turn right, continue for 146.9 meters and taking about 105.8 seconds.
Turn left, continue for 260.5 meters and taking about 187.5 seconds.
Turn right, continue for 7.6 meters and taking about 5.5 seconds.
Turn left, continue for 21.7 meters and taking about 15.6 seconds.
Turn right, continue for 7.7 meters and taking about 5.5 seconds.
Keep left, continue for 18.3 meters and taking about 13.2 seconds.
Turn left, continue for 42.2 meters and taking about 30.4 seconds.
Turn right, continue for 17.3 meters and taking about 12.5 seconds.
Turn left, continue for 27.5 meters and taking about 19.8 seconds.
Keep right, continue for 10.8 meters and taking about 7.8 seconds.
Turn right, continue for 38.6 meters and taking about 27.8 seconds.
Turn left, continue for 5.0 meters and taking about 3.6 seconds.
Turn right, continue for 7.3 meters and taking about 5.3 seconds.
Turn left onto Pacific Avenue on Pacific Avenue, continue for 254.5 meters and taking about 183.2 seconds.
Turn right onto Oakmount Road on Oakmount Road, continue for 213.0 meters and taking about 153.4 seconds.
Turn right, continue for 2.7 meters and taking about 2.0 seconds.
Turn left, continue for 37.6 meters and taking about 27.1 seconds.
Turn right, continue for 77.5 meters and taking about 55.8 seconds.
Turn left, continue for 6.6 meters and taking about 4.8 seconds.
Turn right onto Humberside Avenue on Humberside Avenue, continue for 105.5 meters and taking about 76.0 seconds.
Turn left, continue for 48.9 meters and taking about 35.2 seconds.
Turn right, continue for 16.8 meters and taking about 12.1 seconds.
Keep left, continue for 105.7 meters and taking about 76.1 seconds.
Turn left, continue for 20.6 meters and taking about 14.9 seconds.
Turn right, continue for 4.8 meters and taking about 3.5 seconds.
Turn left onto Indian Grove on Indian Grove, continue for 35.9 meters and taking about 25.9 seconds.
Turn right, continue for 199.7 meters and taking about 143.8 seconds.
Turn right, continue for 64.5 meters and taking about 46.4 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
