Name: Canada Boulevard, Instruction: Head north on Canada Boulevard, Distance: 22.2 meters, Time: 16.0 seconds
Name: -, Instruction: Turn left, Distance: 6.9 meters, Time: 5.0 seconds
Name: -, Instruction: Keep right, Distance: 4.4 meters, Time: 3.2 seconds
Name: -, Instruction: Turn right, Distance: 27.9 meters, Time: 20.1 seconds
Name: -, Instruction: Turn right, Distance: 32.6 meters, Time: 23.4 seconds
Name: -, Instruction: Keep right, Distance: 11.4 meters, Time: 8.2 seconds
Name: -, Instruction: Turn slight right, Distance: 18.4 meters, Time: 13.3 seconds
Name: -, Instruction: Turn left, Distance: 336.8 meters, Time: 242.5 seconds
Name: -, Instruction: Turn right, Distance: 15.4 meters, Time: 11.1 seconds
Name: -, Instruction: Turn left, Distance: 134.2 meters, Time: 96.6 seconds
Name: -, Instruction: Turn right, Distance: 48.4 meters, Time: 34.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
