Head north on Canada Boulevard on Canada Boulevard, continue for 22.2 meters and taking about 16.0 seconds.
Turn left, continue for 6.9 meters and taking about 5.0 seconds.
Keep right, continue for 4.4 meters and taking about 3.2 seconds.
Turn right, continue for 27.9 meters and taking about 20.1 seconds.
Turn right, continue for 32.6 meters and taking about 23.4 seconds.
Keep right, continue for 11.4 meters and taking about 8.2 seconds.
Turn slight right, continue for 18.4 meters and taking about 13.3 seconds.
Turn left, continue for 336.8 meters and taking about 242.5 seconds.
Turn right, continue for 15.4 meters and taking about 11.1 seconds.
Turn left, continue for 134.2 meters and taking about 96.6 seconds.
Turn right, continue for 48.4 meters and taking about 34.8 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
