Name: Lea Avenue, Instruction: Head west on Lea Avenue, Distance: 4.5 meters, Time: 3.2 seconds
Name: -, Instruction: Turn right, Distance: 178.2 meters, Time: 128.3 seconds
Name: -, Instruction: Turn left, Distance: 139.7 meters, Time: 100.6 seconds
Name: -, Instruction: Turn right, Distance: 5.9 meters, Time: 4.3 seconds
Name: Stickney Avenue, Instruction: Turn left onto Stickney Avenue, Distance: 44.9 meters, Time: 32.3 seconds
Name: -, Instruction: Turn right, Distance: 180.9 meters, Time: 130.3 seconds
Name: -, Instruction: Turn sharp left, Distance: 1.0 meters, Time: 0.7 seconds
Name: -, Instruction: Turn right, Distance: 187.0 meters, Time: 134.6 seconds
Name: Parkhurst Boulevard, Instruction: Turn left onto Parkhurst Boulevard, Distance: 5.1 meters, Time: 3.7 seconds
Name: Sutherland Drive, Instruction: Turn right onto Sutherland Drive, Distance: 974.3 meters, Time: 701.5 seconds
Name: -, Instruction: Turn left, Distance: 76.2 meters, Time: 54.9 seconds
Name: -, Instruction: Turn sharp right, Distance: 3.9 meters, Time: 2.8 seconds
Name: -, Instruction: Turn slight left, Distance: 117.6 meters, Time: 84.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
