Name: Metcalfe Street, Instruction: Head south on Metcalfe Street, Distance: 37.6 meters, Time: 27.1 seconds
Name: -, Instruction: Turn right, Distance: 5.8 meters, Time: 4.2 seconds
Name: -, Instruction: Turn slight left, Distance: 61.2 meters, Time: 44.0 seconds
Name: Broadcast Lane, Instruction: Turn left onto Broadcast Lane, Distance: 9.5 meters, Time: 6.9 seconds
Name: -, Instruction: Turn right, Distance: 37.1 meters, Time: 26.7 seconds
Name: -, Instruction: Turn left, Distance: 6.4 meters, Time: 4.6 seconds
Name: -, Instruction: Turn right, Distance: 442.9 meters, Time: 318.9 seconds
Name: -, Instruction: Turn left, Distance: 19.1 meters, Time: 13.8 seconds
Name: -, Instruction: Keep right, Distance: 144.7 meters, Time: 104.2 seconds
Name: -, Instruction: Turn slight left, Distance: 39.2 meters, Time: 28.2 seconds
Name: -, Instruction: Turn right, Distance: 43.6 meters, Time: 31.4 seconds
Name: -, Instruction: Keep left, Distance: 77.7 meters, Time: 56.0 seconds
Name: Horticultural Avenue, Instruction: Turn left onto Horticultural Avenue, Distance: 10.3 meters, Time: 7.4 seconds
Name: Gerrard Street East, Instruction: Turn right onto Gerrard Street East, Distance: 11.3 meters, Time: 8.2 seconds
Name: George Street, Instruction: Turn left onto George Street, Distance: 8.2 meters, Time: 5.9 seconds
Name: -, Instruction: Turn right, Distance: 74.7 meters, Time: 53.8 seconds
Name: -, Instruction: Turn left, Distance: 369.9 meters, Time: 266.3 seconds
Name: -, Instruction: Turn right, Distance: 103.0 meters, Time: 74.2 seconds
Name: Mutual Street, Instruction: Turn left onto Mutual Street, Distance: 16.6 meters, Time: 12.0 seconds
Name: -, Instruction: Turn right, Distance: 116.0 meters, Time: 83.5 seconds
Name: -, Instruction: Keep right, Distance: 19.3 meters, Time: 13.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
