Name: Dieppe Road, Instruction: Head west on Dieppe Road, Distance: 10.9 meters, Time: 7.9 seconds
Name: -, Instruction: Turn sharp left, Distance: 80.1 meters, Time: 57.7 seconds
Name: -, Instruction: Turn sharp left, Distance: 12.8 meters, Time: 9.2 seconds
Name: -, Instruction: Turn slight right, Distance: 172.0 meters, Time: 123.8 seconds
Name: -, Instruction: Turn right, Distance: 6.2 meters, Time: 4.5 seconds
Name: Memorial Park Avenue, Instruction: Turn left onto Memorial Park Avenue, Distance: 302.2 meters, Time: 217.6 seconds
Name: Roosevelt Road, Instruction: Turn right onto Roosevelt Road, Distance: 6.0 meters, Time: 4.3 seconds
Name: -, Instruction: Turn left, Distance: 12.1 meters, Time: 8.7 seconds
Name: -, Instruction: Keep right, Distance: 99.6 meters, Time: 71.7 seconds
Name: -, Instruction: Turn right, Distance: 81.9 meters, Time: 58.9 seconds
Name: -, Instruction: Turn right, Distance: 47.9 meters, Time: 34.5 seconds
Name: -, Instruction: Turn right, Distance: 41.0 meters, Time: 29.6 seconds
Name: -, Instruction: Turn right, Distance: 3.1 meters, Time: 2.3 seconds
Name: -, Instruction: Keep right, Distance: 93.3 meters, Time: 67.2 seconds
Name: -, Instruction: Turn slight right, Distance: 22.3 meters, Time: 16.1 seconds
Name: -, Instruction: Turn left, Distance: 10.6 meters, Time: 7.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
