Head west on Dieppe Road on Dieppe Road, continue for 10.9 meters and taking about 7.9 seconds.
Turn sharp left, continue for 80.1 meters and taking about 57.7 seconds.
Turn sharp left, continue for 12.8 meters and taking about 9.2 seconds.
Turn slight right, continue for 172.0 meters and taking about 123.8 seconds.
Turn right, continue for 6.2 meters and taking about 4.5 seconds.
Turn left onto Memorial Park Avenue on Memorial Park Avenue, continue for 302.2 meters and taking about 217.6 seconds.
Turn right onto Roosevelt Road on Roosevelt Road, continue for 6.0 meters and taking about 4.3 seconds.
Turn left, continue for 12.1 meters and taking about 8.7 seconds.
Keep right, continue for 99.6 meters and taking about 71.7 seconds.
Turn right, continue for 81.9 meters and taking about 58.9 seconds.
Turn right, continue for 47.9 meters and taking about 34.5 seconds.
Turn right, continue for 41.0 meters and taking about 29.6 seconds.
Turn right, continue for 3.1 meters and taking about 2.3 seconds.
Keep right, continue for 93.3 meters and taking about 67.2 seconds.
Turn slight right, continue for 22.3 meters and taking about 16.1 seconds.
Turn left, continue for 10.6 meters and taking about 7.6 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
