Name: Hertle Avenue, Instruction: Head south on Hertle Avenue, Distance: 271.7 meters, Time: 195.6 seconds
Name: -, Instruction: Turn left, Distance: 170.5 meters, Time: 122.8 seconds
Name: -, Instruction: Keep right, Distance: 179.4 meters, Time: 129.2 seconds
Name: -, Instruction: Turn right, Distance: 16.9 meters, Time: 12.1 seconds
Name: -, Instruction: Turn left, Distance: 67.2 meters, Time: 48.4 seconds
Name: -, Instruction: Turn slight left, Distance: 172.4 meters, Time: 124.1 seconds
Name: -, Instruction: Turn right, Distance: 155.4 meters, Time: 111.9 seconds
Name: -, Instruction: Keep right, Distance: 96.0 meters, Time: 69.1 seconds
Name: -, Instruction: Turn left, Distance: 2.2 meters, Time: 1.6 seconds
Name: -, Instruction: Turn right, Distance: 18.3 meters, Time: 13.2 seconds
Name: -, Instruction: Turn sharp left, Distance: 154.6 meters, Time: 111.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
