Name: Walpole Avenue, Instruction: Head west on Walpole Avenue, Distance: 84.6 meters, Time: 60.9 seconds
Name: Glenside Avenue, Instruction: Turn left onto Glenside Avenue, Distance: 3.6 meters, Time: 2.6 seconds
Name: -, Instruction: Turn right, Distance: 163.8 meters, Time: 117.9 seconds
Name: -, Instruction: Turn left, Distance: 73.5 meters, Time: 52.9 seconds
Name: -, Instruction: Turn right, Distance: 16.7 meters, Time: 12.0 seconds
Name: -, Instruction: Turn left, Distance: 76.7 meters, Time: 55.2 seconds
Name: -, Instruction: Keep left, Distance: 95.6 meters, Time: 68.8 seconds
Name: -, Instruction: Keep right, Distance: 52.0 meters, Time: 37.5 seconds
Name: -, Instruction: Turn left, Distance: 4.6 meters, Time: 3.3 seconds
Name: Sandford Avenue, Instruction: Turn right onto Sandford Avenue, Distance: 153.8 meters, Time: 110.7 seconds
Name: Prust Avenue, Instruction: Turn left onto Prust Avenue, Distance: 61.4 meters, Time: 44.2 seconds
Name: -, Instruction: Turn right, Distance: 103.0 meters, Time: 74.1 seconds
Name: -, Instruction: Turn left, Distance: 37.8 meters, Time: 27.2 seconds
Name: -, Instruction: Turn right, Distance: 105.7 meters, Time: 76.1 seconds
Name: Leslie Street, Instruction: Turn left onto Leslie Street, Distance: 48.6 meters, Time: 35.0 seconds
Name: -, Instruction: Turn right, Distance: 4.4 meters, Time: 3.2 seconds
Name: -, Instruction: Turn left, Distance: 35.6 meters, Time: 25.6 seconds
Name: -, Instruction: Turn right, Distance: 34.4 meters, Time: 24.8 seconds
Name: -, Instruction: Turn left, Distance: 80.8 meters, Time: 58.2 seconds
Name: Sproat Avenue, Instruction: Turn right onto Sproat Avenue, Distance: 114.3 meters, Time: 82.3 seconds
Name: Peyton Lane, Instruction: Turn left onto Peyton Lane, Distance: 4.1 meters, Time: 3.0 seconds
Name: -, Instruction: Turn right, Distance: 51.3 meters, Time: 36.9 seconds
Name: -, Instruction: Turn slight left, Distance: 77.9 meters, Time: 56.1 seconds
Name: -, Instruction: Turn left, Distance: 42.0 meters, Time: 30.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
