Head west on Walpole Avenue on Walpole Avenue, continue for 84.6 meters and taking about 60.9 seconds.
Turn left onto Glenside Avenue on Glenside Avenue, continue for 3.6 meters and taking about 2.6 seconds.
Turn right, continue for 163.8 meters and taking about 117.9 seconds.
Turn left, continue for 73.5 meters and taking about 52.9 seconds.
Turn right, continue for 16.7 meters and taking about 12.0 seconds.
Turn left, continue for 76.7 meters and taking about 55.2 seconds.
Keep left, continue for 95.6 meters and taking about 68.8 seconds.
Keep right, continue for 52.0 meters and taking about 37.5 seconds.
Turn left, continue for 4.6 meters and taking about 3.3 seconds.
Turn right onto Sandford Avenue on Sandford Avenue, continue for 153.8 meters and taking about 110.7 seconds.
Turn left onto Prust Avenue on Prust Avenue, continue for 61.4 meters and taking about 44.2 seconds.
Turn right, continue for 103.0 meters and taking about 74.1 seconds.
Turn left, continue for 37.8 meters and taking about 27.2 seconds.
Turn right, continue for 105.7 meters and taking about 76.1 seconds.
Turn left onto Leslie Street on Leslie Street, continue for 48.6 meters and taking about 35.0 seconds.
Turn right, continue for 4.4 meters and taking about 3.2 seconds.
Turn left, continue for 35.6 meters and taking about 25.6 seconds.
Turn right, continue for 34.4 meters and taking about 24.8 seconds.
Turn left, continue for 80.8 meters and taking about 58.2 seconds.
Turn right onto Sproat Avenue on Sproat Avenue, continue for 114.3 meters and taking about 82.3 seconds.
Turn left onto Peyton Lane on Peyton Lane, continue for 4.1 meters and taking about 3.0 seconds.
Turn right, continue for 51.3 meters and taking about 36.9 seconds.
Turn slight left, continue for 77.9 meters and taking about 56.1 seconds.
Turn left, continue for 42.0 meters and taking about 30.3 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
