Name: Delaware Avenue, Instruction: Head north on Delaware Avenue, Distance: 9.8 meters, Time: 7.0 seconds
Name: -, Instruction: Turn right, Distance: 406.7 meters, Time: 292.8 seconds
Name: -, Instruction: Keep right, Distance: 382.8 meters, Time: 275.6 seconds
Name: Grace Street, Instruction: Keep right onto Grace Street, Distance: 14.3 meters, Time: 10.3 seconds
Name: Grace Street, Instruction: Keep right onto Grace Street, Distance: 201.5 meters, Time: 145.1 seconds
Name: Mansfield Avenue, Instruction: Turn left onto Mansfield Avenue, Distance: 3.9 meters, Time: 2.8 seconds
Name: -, Instruction: Turn right, Distance: 57.7 meters, Time: 41.5 seconds
Name: -, Instruction: Turn left, Distance: 72.6 meters, Time: 52.3 seconds
Name: -, Instruction: Turn left, Distance: 37.1 meters, Time: 26.7 seconds
Name: -, Instruction: Turn right, Distance: 77.4 meters, Time: 55.8 seconds
Name: -, Instruction: Turn left, Distance: 3.7 meters, Time: 2.7 seconds
Name: Bellwoods Avenue, Instruction: Turn right onto Bellwoods Avenue, Distance: 289.8 meters, Time: 208.6 seconds
Name: Bellwoods Place, Instruction: Turn left onto Bellwoods Place, Distance: 3.7 meters, Time: 2.7 seconds
Name: -, Instruction: Turn right, Distance: 164.5 meters, Time: 118.4 seconds
Name: -, Instruction: Turn left, Distance: 47.0 meters, Time: 33.9 seconds
Name: St. Mathias Place, Instruction: Turn right onto St. Mathias Place, Distance: 82.8 meters, Time: 59.6 seconds
Name: -, Instruction: Arrive at St. Mathias Place, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
