Name: Sousa Mendes Street, Instruction: Head south on Sousa Mendes Street, Distance: 178.9 meters, Time: 128.8 seconds
Name: -, Instruction: Turn right, Distance: 6.4 meters, Time: 4.6 seconds
Name: -, Instruction: Turn left, Distance: 5.4 meters, Time: 3.9 seconds
Name: West Toronto Railpath, Instruction: Turn right onto West Toronto Railpath, Distance: 10.3 meters, Time: 7.4 seconds
Name: -, Instruction: Turn right, Distance: 136.0 meters, Time: 97.9 seconds
Name: -, Instruction: Turn left, Distance: 434.9 meters, Time: 313.1 seconds
Name: -, Instruction: Turn sharp right, Distance: 1.2 meters, Time: 0.9 seconds
Name: -, Instruction: Turn left, Distance: 442.4 meters, Time: 318.5 seconds
Name: -, Instruction: Turn left, Distance: 36.8 meters, Time: 26.5 seconds
Name: -, Instruction: Turn right, Distance: 47.6 meters, Time: 34.3 seconds
Name: -, Instruction: Turn left, Distance: 148.3 meters, Time: 106.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
