Head south on Sousa Mendes Street on Sousa Mendes Street, continue for 178.9 meters and taking about 128.8 seconds.
Turn right, continue for 6.4 meters and taking about 4.6 seconds.
Turn left, continue for 5.4 meters and taking about 3.9 seconds.
Turn right onto West Toronto Railpath on West Toronto Railpath, continue for 10.3 meters and taking about 7.4 seconds.
Turn right, continue for 136.0 meters and taking about 97.9 seconds.
Turn left, continue for 434.9 meters and taking about 313.1 seconds.
Turn sharp right, continue for 1.2 meters and taking about 0.9 seconds.
Turn left, continue for 442.4 meters and taking about 318.5 seconds.
Turn left, continue for 36.8 meters and taking about 26.5 seconds.
Turn right, continue for 47.6 meters and taking about 34.3 seconds.
Turn left, continue for 148.3 meters and taking about 106.8 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
