Name: Rumsey Road, Instruction: Head south on Rumsey Road, Distance: 101.6 meters, Time: 73.1 seconds
Name: -, Instruction: Turn left, Distance: 197.4 meters, Time: 142.1 seconds
Name: -, Instruction: Turn right, Distance: 4.7 meters, Time: 3.4 seconds
Name: Donlea Drive, Instruction: Turn left onto Donlea Drive, Distance: 11.1 meters, Time: 8.0 seconds
Name: -, Instruction: Turn right, Distance: 4.8 meters, Time: 3.4 seconds
Name: -, Instruction: Turn left, Distance: 203.1 meters, Time: 146.2 seconds
Name: -, Instruction: Turn right, Distance: 107.8 meters, Time: 77.6 seconds
Name: -, Instruction: Turn left, Distance: 393.1 meters, Time: 283.0 seconds
Name: -, Instruction: Keep right, Distance: 83.2 meters, Time: 59.9 seconds
Name: Fredrick Todd Way, Instruction: Turn left onto Fredrick Todd Way, Distance: 15.6 meters, Time: 11.3 seconds
Name: -, Instruction: Arrive at Fredrick Todd Way, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
