Head south on Ancaster Road on Ancaster Road, continue for 83.8 meters and taking about 60.3 seconds.
Turn right, continue for 7.7 meters and taking about 5.6 seconds.
Turn left, continue for 7.2 meters and taking about 5.2 seconds.
Turn right onto Katherine Road on Katherine Road, continue for 204.9 meters and taking about 147.5 seconds.
Turn left, continue for 7.6 meters and taking about 5.4 seconds.
Turn right, continue for 9.4 meters and taking about 6.8 seconds.
Turn left onto Garratt Boulevard on Garratt Boulevard, continue for 100.7 meters and taking about 72.5 seconds.
Turn right, continue for 5.4 meters and taking about 3.9 seconds.
Turn left, continue for 81.4 meters and taking about 58.6 seconds.
Keep right, continue for 271.0 meters and taking about 195.1 seconds.
Keep left, continue for 748.4 meters and taking about 538.8 seconds.
Turn right, continue for 106.4 meters and taking about 76.6 seconds.
Turn left, continue for 1.5 meters and taking about 1.0 seconds.
Turn slight right, continue for 56.5 meters and taking about 40.7 seconds.
Turn left, continue for 11.5 meters and taking about 8.3 seconds.
Turn right, continue for 299.3 meters and taking about 215.5 seconds.
Turn left, continue for 11.9 meters and taking about 8.5 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
