Name: Humewood Drive, Instruction: Head southwest on Humewood Drive, Distance: 76.1 meters, Time: 54.8 seconds
Name: Humewood Gardens, Instruction: Turn right onto Humewood Gardens, Distance: 124.1 meters, Time: 89.3 seconds
Name: Rushton Road, Instruction: Turn left onto Rushton Road, Distance: 147.7 meters, Time: 106.4 seconds
Name: Charlie Roach Lane, Instruction: Turn right onto Charlie Roach Lane, Distance: 98.3 meters, Time: 70.8 seconds
Name: Arlington Avenue, Instruction: Turn left onto Arlington Avenue, Distance: 32.1 meters, Time: 23.1 seconds
Name: -, Instruction: Turn right, Distance: 297.9 meters, Time: 214.5 seconds
Name: -, Instruction: Turn right, Distance: 19.9 meters, Time: 14.3 seconds
Name: -, Instruction: Turn right, Distance: 506.7 meters, Time: 364.8 seconds
Name: Glenholme Avenue, Instruction: Turn left onto Glenholme Avenue, Distance: 31.7 meters, Time: 22.8 seconds
Name: -, Instruction: Turn right, Distance: 372.3 meters, Time: 268.1 seconds
Name: -, Instruction: Turn left, Distance: 73.2 meters, Time: 52.7 seconds
Name: -, Instruction: Turn right, Distance: 212.3 meters, Time: 152.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
