Name: Howe Avenue, Instruction: Head north on Howe Avenue, Distance: 214.0 meters, Time: 154.0 seconds
Name: -, Instruction: Turn right, Distance: 86.1 meters, Time: 62.0 seconds
Name: -, Instruction: Turn sharp left, Distance: 7.2 meters, Time: 5.2 seconds
Name: Ayers Crescent, Instruction: Turn right onto Ayers Crescent, Distance: 6.2 meters, Time: 4.5 seconds
Name: Cleanside Road, Instruction: Turn left onto Cleanside Road, Distance: 120.3 meters, Time: 86.6 seconds
Name: -, Instruction: Turn right, Distance: 721.2 meters, Time: 519.3 seconds
Name: Sherry Road, Instruction: Turn left onto Sherry Road, Distance: 18.4 meters, Time: 13.3 seconds
Name: -, Instruction: Turn right, Distance: 93.4 meters, Time: 67.3 seconds
Name: -, Instruction: Turn left, Distance: 192.3 meters, Time: 138.5 seconds
Name: -, Instruction: Turn right, Distance: 118.1 meters, Time: 85.0 seconds
Name: -, Instruction: Turn slight left, Distance: 129.8 meters, Time: 93.5 seconds
Name: -, Instruction: Turn left, Distance: 56.8 meters, Time: 40.9 seconds
Name: -, Instruction: Turn left, Distance: 32.3 meters, Time: 23.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
