Name: Benvenuto Place, Instruction: Head north on Benvenuto Place, Distance: 5.7 meters, Time: 4.1 seconds
Name: Edmund Avenue, Instruction: Turn left onto Edmund Avenue, Distance: 133.4 meters, Time: 96.0 seconds
Name: Poplar Plains Road, Instruction: Turn left onto Poplar Plains Road, Distance: 178.1 meters, Time: 128.2 seconds
Name: Russell Hill Road, Instruction: Turn right onto Russell Hill Road, Distance: 45.4 meters, Time: 32.7 seconds
Name: -, Instruction: Turn left, Distance: 6.7 meters, Time: 4.9 seconds
Name: -, Instruction: Turn right, Distance: 6.6 meters, Time: 4.7 seconds
Name: Boulton Drive, Instruction: Turn left onto Boulton Drive, Distance: 106.1 meters, Time: 76.4 seconds
Name: -, Instruction: Turn sharp right, Distance: 444.9 meters, Time: 320.3 seconds
Name: -, Instruction: Keep left, Distance: 58.8 meters, Time: 42.3 seconds
Name: -, Instruction: Turn left, Distance: 502.5 meters, Time: 361.8 seconds
Name: -, Instruction: Turn left, Distance: 49.0 meters, Time: 35.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
