Name: Pepler Avenue, Instruction: Head south on Pepler Avenue, Distance: 106.3 meters, Time: 76.5 seconds
Name: -, Instruction: Continue straight, Distance: 3.9 meters, Time: 2.8 seconds
Name: -, Instruction: Turn left, Distance: 3.4 meters, Time: 2.4 seconds
Name: -, Instruction: Turn right, Distance: 54.1 meters, Time: 38.9 seconds
Name: -, Instruction: Turn right, Distance: 44.1 meters, Time: 31.7 seconds
Name: -, Instruction: Turn right, Distance: 62.9 meters, Time: 45.3 seconds
Name: -, Instruction: Turn right, Distance: 18.0 meters, Time: 12.9 seconds
Name: -, Instruction: Turn left, Distance: 417.9 meters, Time: 300.9 seconds
Name: -, Instruction: Turn right, Distance: 189.5 meters, Time: 136.4 seconds
Name: -, Instruction: Turn slight right, Distance: 5.7 meters, Time: 4.1 seconds
Name: -, Instruction: Keep left, Distance: 19.8 meters, Time: 14.2 seconds
Name: -, Instruction: Turn slight left, Distance: 305.3 meters, Time: 219.8 seconds
Name: -, Instruction: Keep left, Distance: 82.1 meters, Time: 59.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
