Name: Kingston Road, Instruction: Head north on Kingston Road, Distance: 5.6 meters, Time: 4.1 seconds
Name: Penny Lane, Instruction: Turn left onto Penny Lane, Distance: 11.0 meters, Time: 8.0 seconds
Name: -, Instruction: Turn right, Distance: 194.6 meters, Time: 140.1 seconds
Name: -, Instruction: Keep right, Distance: 97.2 meters, Time: 70.0 seconds
Name: -, Instruction: Turn slight left, Distance: 1.5 meters, Time: 1.0 seconds
Name: -, Instruction: Turn slight right, Distance: 18.2 meters, Time: 13.1 seconds
Name: -, Instruction: Turn sharp left, Distance: 60.7 meters, Time: 43.7 seconds
Name: -, Instruction: Keep right, Distance: 517.8 meters, Time: 372.8 seconds
Name: -, Instruction: Turn right, Distance: 147.5 meters, Time: 106.2 seconds
Name: Bowmore Road, Instruction: Turn left onto Bowmore Road, Distance: 126.2 meters, Time: 90.9 seconds
Name: -, Instruction: Turn right, Distance: 6.7 meters, Time: 4.8 seconds
Name: -, Instruction: Turn left, Distance: 187.9 meters, Time: 135.3 seconds
Name: -, Instruction: Keep left, Distance: 15.4 meters, Time: 11.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
