Name: Leslie Street, Instruction: Head north on Leslie Street, Distance: 674.6 meters, Time: 485.7 seconds
Name: -, Instruction: Turn left, Distance: 4.4 meters, Time: 3.1 seconds
Name: -, Instruction: Turn right, Distance: 151.4 meters, Time: 109.0 seconds
Name: -, Instruction: Turn left, Distance: 102.2 meters, Time: 73.6 seconds
Name: Bushell Avenue, Instruction: Turn right onto Bushell Avenue, Distance: 4.4 meters, Time: 3.2 seconds
Name: Myrtle Avenue, Instruction: Turn left onto Myrtle Avenue, Distance: 98.1 meters, Time: 70.7 seconds
Name: -, Instruction: Turn right, Distance: 123.2 meters, Time: 88.7 seconds
Name: -, Instruction: Turn left, Distance: 17.1 meters, Time: 12.3 seconds
Name: -, Instruction: Turn right, Distance: 3.9 meters, Time: 2.8 seconds
Name: -, Instruction: Keep left, Distance: 89.8 meters, Time: 64.6 seconds
Name: -, Instruction: Turn right, Distance: 5.3 meters, Time: 3.8 seconds
Name: Boultbee Avenue, Instruction: Turn left onto Boultbee Avenue, Distance: 86.3 meters, Time: 62.1 seconds
Name: -, Instruction: Turn right, Distance: 6.0 meters, Time: 4.3 seconds
Name: -, Instruction: Keep right, Distance: 27.4 meters, Time: 19.7 seconds
Name: -, Instruction: Turn left, Distance: 26.4 meters, Time: 19.0 seconds
Name: -, Instruction: Turn right, Distance: 18.0 meters, Time: 13.0 seconds
Name: -, Instruction: Turn left, Distance: 14.1 meters, Time: 10.1 seconds
Name: -, Instruction: Turn left, Distance: 526.6 meters, Time: 379.2 seconds
Name: -, Instruction: Turn right, Distance: 3.7 meters, Time: 2.7 seconds
Name: -, Instruction: Turn left, Distance: 41.2 meters, Time: 29.7 seconds
Name: -, Instruction: Keep left, Distance: 5.5 meters, Time: 3.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
