Head north on Leslie Street on Leslie Street, continue for 674.6 meters and taking about 485.7 seconds.
Turn left, continue for 4.4 meters and taking about 3.1 seconds.
Turn right, continue for 151.4 meters and taking about 109.0 seconds.
Turn left, continue for 102.2 meters and taking about 73.6 seconds.
Turn right onto Bushell Avenue on Bushell Avenue, continue for 4.4 meters and taking about 3.2 seconds.
Turn left onto Myrtle Avenue on Myrtle Avenue, continue for 98.1 meters and taking about 70.7 seconds.
Turn right, continue for 123.2 meters and taking about 88.7 seconds.
Turn left, continue for 17.1 meters and taking about 12.3 seconds.
Turn right, continue for 3.9 meters and taking about 2.8 seconds.
Keep left, continue for 89.8 meters and taking about 64.6 seconds.
Turn right, continue for 5.3 meters and taking about 3.8 seconds.
Turn left onto Boultbee Avenue on Boultbee Avenue, continue for 86.3 meters and taking about 62.1 seconds.
Turn right, continue for 6.0 meters and taking about 4.3 seconds.
Keep right, continue for 27.4 meters and taking about 19.7 seconds.
Turn left, continue for 26.4 meters and taking about 19.0 seconds.
Turn right, continue for 18.0 meters and taking about 13.0 seconds.
Turn left, continue for 14.1 meters and taking about 10.1 seconds.
Turn left, continue for 526.6 meters and taking about 379.2 seconds.
Turn right, continue for 3.7 meters and taking about 2.7 seconds.
Turn left, continue for 41.2 meters and taking about 29.7 seconds.
Keep left, continue for 5.5 meters and taking about 3.9 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
