Name: Pritchard Avenue, Instruction: Head east on Pritchard Avenue, Distance: 51.2 meters, Time: 36.9 seconds
Name: -, Instruction: Turn right, Distance: 4.3 meters, Time: 3.1 seconds
Name: -, Instruction: Turn left, Distance: 50.3 meters, Time: 36.2 seconds
Name: -, Instruction: Turn right, Distance: 63.2 meters, Time: 45.5 seconds
Name: -, Instruction: Turn left, Distance: 79.5 meters, Time: 57.2 seconds
Name: -, Instruction: Keep right, Distance: 5.7 meters, Time: 4.1 seconds
Name: Royal Street, Instruction: Turn right onto Royal Street, Distance: 6.1 meters, Time: 4.4 seconds
Name: Henrietta Street, Instruction: Turn left onto Henrietta Street, Distance: 61.1 meters, Time: 44.0 seconds
Name: -, Instruction: Turn right, Distance: 4.4 meters, Time: 3.1 seconds
Name: -, Instruction: Turn left, Distance: 32.9 meters, Time: 23.7 seconds
Name: -, Instruction: Keep left, Distance: 15.1 meters, Time: 10.8 seconds
Name: -, Instruction: Turn slight left, Distance: 254.7 meters, Time: 183.4 seconds
Name: -, Instruction: Turn right, Distance: 85.5 meters, Time: 61.5 seconds
Name: -, Instruction: Turn slight left, Distance: 82.5 meters, Time: 59.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
