Name: Howland Avenue, Instruction: Head south on Howland Avenue, Distance: 11.0 meters, Time: 7.9 seconds
Name: -, Instruction: Turn right, Distance: 220.6 meters, Time: 158.8 seconds
Name: -, Instruction: Turn left, Distance: 100.7 meters, Time: 72.5 seconds
Name: -, Instruction: Keep right, Distance: 83.6 meters, Time: 60.2 seconds
Name: -, Instruction: Turn left, Distance: 59.8 meters, Time: 43.1 seconds
Name: Tandy Murch Lane, Instruction: Turn right onto Tandy Murch Lane, Distance: 4.0 meters, Time: 2.9 seconds
Name: Rossmore Road, Instruction: Turn left onto Rossmore Road, Distance: 46.0 meters, Time: 33.1 seconds
Name: -, Instruction: Turn right, Distance: 48.4 meters, Time: 34.9 seconds
Name: -, Instruction: Turn slight left, Distance: 75.9 meters, Time: 54.7 seconds
Name: -, Instruction: Turn left, Distance: 69.8 meters, Time: 50.3 seconds
Name: -, Instruction: Turn right, Distance: 198.5 meters, Time: 143.0 seconds
Name: -, Instruction: Turn left, Distance: 2.7 meters, Time: 2.0 seconds
Name: Olive Avenue, Instruction: Turn right onto Olive Avenue, Distance: 3.6 meters, Time: 2.6 seconds
Name: Manning Avenue, Instruction: Turn left onto Manning Avenue, Distance: 72.8 meters, Time: 52.4 seconds
Name: -, Instruction: Turn right, Distance: 5.1 meters, Time: 3.7 seconds
Name: -, Instruction: Turn slight left, Distance: 1.2 meters, Time: 0.8 seconds
Name: -, Instruction: Turn left, Distance: 5.1 meters, Time: 3.7 seconds
Name: Follis Avenue, Instruction: Turn right onto Follis Avenue, Distance: 46.6 meters, Time: 33.6 seconds
Name: -, Instruction: Turn left, Distance: 2.9 meters, Time: 2.1 seconds
Name: -, Instruction: Turn right, Distance: 45.9 meters, Time: 33.0 seconds
Name: -, Instruction: Turn left, Distance: 132.3 meters, Time: 95.2 seconds
Name: Shady Lane, Instruction: Turn right onto Shady Lane, Distance: 7.8 meters, Time: 5.6 seconds
Name: -, Instruction: Turn left, Distance: 33.5 meters, Time: 24.1 seconds
Name: -, Instruction: Turn right, Distance: 45.5 meters, Time: 32.8 seconds
Name: Silver Bar Lane, Instruction: Turn left onto Silver Bar Lane, Distance: 4.6 meters, Time: 3.3 seconds
Name: Barton Avenue, Instruction: Turn right onto Barton Avenue, Distance: 40.2 meters, Time: 28.9 seconds
Name: -, Instruction: Turn left, Distance: 9.2 meters, Time: 6.7 seconds
Name: -, Instruction: Turn right, Distance: 13.4 meters, Time: 9.7 seconds
Name: -, Instruction: Turn left, Distance: 266.5 meters, Time: 191.8 seconds
Name: -, Instruction: Keep left, Distance: 53.5 meters, Time: 38.5 seconds
Name: -, Instruction: Keep right, Distance: 37.7 meters, Time: 27.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
