Head south on Howland Avenue on Howland Avenue, continue for 11.0 meters and taking about 7.9 seconds.
Turn right, continue for 220.6 meters and taking about 158.8 seconds.
Turn left, continue for 100.7 meters and taking about 72.5 seconds.
Keep right, continue for 83.6 meters and taking about 60.2 seconds.
Turn left, continue for 59.8 meters and taking about 43.1 seconds.
Turn right onto Tandy Murch Lane on Tandy Murch Lane, continue for 4.0 meters and taking about 2.9 seconds.
Turn left onto Rossmore Road on Rossmore Road, continue for 46.0 meters and taking about 33.1 seconds.
Turn right, continue for 48.4 meters and taking about 34.9 seconds.
Turn slight left, continue for 75.9 meters and taking about 54.7 seconds.
Turn left, continue for 69.8 meters and taking about 50.3 seconds.
Turn right, continue for 198.5 meters and taking about 143.0 seconds.
Turn left, continue for 2.7 meters and taking about 2.0 seconds.
Turn right onto Olive Avenue on Olive Avenue, continue for 3.6 meters and taking about 2.6 seconds.
Turn left onto Manning Avenue on Manning Avenue, continue for 72.8 meters and taking about 52.4 seconds.
Turn right, continue for 5.1 meters and taking about 3.7 seconds.
Turn slight left, continue for 1.2 meters and taking about 0.8 seconds.
Turn left, continue for 5.1 meters and taking about 3.7 seconds.
Turn right onto Follis Avenue on Follis Avenue, continue for 46.6 meters and taking about 33.6 seconds.
Turn left, continue for 2.9 meters and taking about 2.1 seconds.
Turn right, continue for 45.9 meters and taking about 33.0 seconds.
Turn left, continue for 132.3 meters and taking about 95.2 seconds.
Turn right onto Shady Lane on Shady Lane, continue for 7.8 meters and taking about 5.6 seconds.
Turn left, continue for 33.5 meters and taking about 24.1 seconds.
Turn right, continue for 45.5 meters and taking about 32.8 seconds.
Turn left onto Silver Bar Lane on Silver Bar Lane, continue for 4.6 meters and taking about 3.3 seconds.
Turn right onto Barton Avenue on Barton Avenue, continue for 40.2 meters and taking about 28.9 seconds.
Turn left, continue for 9.2 meters and taking about 6.7 seconds.
Turn right, continue for 13.4 meters and taking about 9.7 seconds.
Turn left, continue for 266.5 meters and taking about 191.8 seconds.
Keep left, continue for 53.5 meters and taking about 38.5 seconds.
Keep right, continue for 37.7 meters and taking about 27.2 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
