Name: Cannon Road, Instruction: Head west on Cannon Road, Distance: 60.7 meters, Time: 43.7 seconds
Name: -, Instruction: Keep right, Distance: 98.6 meters, Time: 71.0 seconds
Name: Cloverhill Road, Instruction: Turn right onto Cloverhill Road, Distance: 52.1 meters, Time: 37.5 seconds
Name: -, Instruction: Turn left, Distance: 169.6 meters, Time: 122.1 seconds
Name: Kinsdale Boulevard, Instruction: Turn right onto Kinsdale Boulevard, Distance: 188.5 meters, Time: 135.7 seconds
Name: -, Instruction: Turn right, Distance: 48.5 meters, Time: 34.9 seconds
Name: -, Instruction: Turn left, Distance: 242.8 meters, Time: 174.8 seconds
Name: -, Instruction: Turn left, Distance: 123.0 meters, Time: 88.5 seconds
Name: Crown Hill Place, Instruction: Turn slight left onto Crown Hill Place, Distance: 9.1 meters, Time: 6.6 seconds
Name: -, Instruction: Turn right, Distance: 55.7 meters, Time: 40.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
