Name: Plains Road, Instruction: Head east on Plains Road, Distance: 160.2 meters, Time: 115.4 seconds
Name: -, Instruction: Turn right, Distance: 4.2 meters, Time: 3.0 seconds
Name: -, Instruction: Turn left, Distance: 83.2 meters, Time: 59.9 seconds
Name: -, Instruction: Keep left, Distance: 6.2 meters, Time: 4.5 seconds
Name: St. Hubert Avenue, Instruction: Turn right onto St. Hubert Avenue, Distance: 212.9 meters, Time: 153.3 seconds
Name: -, Instruction: Turn left, Distance: 72.4 meters, Time: 52.1 seconds
Name: -, Instruction: Keep left, Distance: 15.3 meters, Time: 11.0 seconds
Name: -, Instruction: Turn right, Distance: 201.1 meters, Time: 144.8 seconds
Name: -, Instruction: Turn left, Distance: 70.2 meters, Time: 50.5 seconds
Name: -, Instruction: Turn right, Distance: 16.0 meters, Time: 11.5 seconds
Name: -, Instruction: Turn left, Distance: 5.5 meters, Time: 3.9 seconds
Name: Leroy Avenue, Instruction: Turn right onto Leroy Avenue, Distance: 204.1 meters, Time: 146.9 seconds
Name: -, Instruction: Turn left, Distance: 149.2 meters, Time: 107.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
