Head east on Plains Road on Plains Road, continue for 160.2 meters and taking about 115.4 seconds.
Turn right, continue for 4.2 meters and taking about 3.0 seconds.
Turn left, continue for 83.2 meters and taking about 59.9 seconds.
Keep left, continue for 6.2 meters and taking about 4.5 seconds.
Turn right onto St. Hubert Avenue on St. Hubert Avenue, continue for 212.9 meters and taking about 153.3 seconds.
Turn left, continue for 72.4 meters and taking about 52.1 seconds.
Keep left, continue for 15.3 meters and taking about 11.0 seconds.
Turn right, continue for 201.1 meters and taking about 144.8 seconds.
Turn left, continue for 70.2 meters and taking about 50.5 seconds.
Turn right, continue for 16.0 meters and taking about 11.5 seconds.
Turn left, continue for 5.5 meters and taking about 3.9 seconds.
Turn right onto Leroy Avenue on Leroy Avenue, continue for 204.1 meters and taking about 146.9 seconds.
Turn left, continue for 149.2 meters and taking about 107.4 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
