Name: Ardagh Street, Instruction: Head west on Ardagh Street, Distance: 16.4 meters, Time: 11.8 seconds
Name: -, Instruction: Turn left, Distance: 4.7 meters, Time: 3.4 seconds
Name: -, Instruction: Turn right, Distance: 72.0 meters, Time: 51.9 seconds
Name: -, Instruction: Turn left, Distance: 93.0 meters, Time: 67.0 seconds
Name: -, Instruction: Turn right, Distance: 4.3 meters, Time: 3.1 seconds
Name: Evans Avenue, Instruction: Turn left onto Evans Avenue, Distance: 225.3 meters, Time: 162.2 seconds
Name: Colbeck Street, Instruction: Turn right onto Colbeck Street, Distance: 49.1 meters, Time: 35.4 seconds
Name: Armadale Avenue, Instruction: Turn left onto Armadale Avenue, Distance: 84.8 meters, Time: 61.1 seconds
Name: Nelles Avenue, Instruction: Turn right onto Nelles Avenue, Distance: 4.7 meters, Time: 3.4 seconds
Name: -, Instruction: Turn left, Distance: 76.5 meters, Time: 55.1 seconds
Name: -, Instruction: Turn left, Distance: 6.4 meters, Time: 4.6 seconds
Name: Weatherell Street, Instruction: Turn right onto Weatherell Street, Distance: 60.8 meters, Time: 43.7 seconds
Name: -, Instruction: Turn left, Distance: 4.7 meters, Time: 3.4 seconds
Name: -, Instruction: Turn right, Distance: 52.1 meters, Time: 37.5 seconds
Name: -, Instruction: Turn slight left, Distance: 235.1 meters, Time: 169.3 seconds
Name: -, Instruction: Turn right, Distance: 17.7 meters, Time: 12.8 seconds
Name: -, Instruction: Turn left, Distance: 2.6 meters, Time: 1.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
