Name: Jarvis Street, Instruction: Head north on Jarvis Street, Distance: 12.8 meters, Time: 9.2 seconds
Name: -, Instruction: Turn left, Distance: 8.9 meters, Time: 6.4 seconds
Name: -, Instruction: Turn right, Distance: 142.4 meters, Time: 102.5 seconds
Name: Maitland Street, Instruction: Turn left onto Maitland Street, Distance: 156.4 meters, Time: 112.6 seconds
Name: -, Instruction: Turn right, Distance: 5.6 meters, Time: 4.0 seconds
Name: -, Instruction: Turn left, Distance: 61.4 meters, Time: 44.2 seconds
Name: -, Instruction: Turn right, Distance: 302.9 meters, Time: 218.1 seconds
Name: -, Instruction: Keep right, Distance: 114.3 meters, Time: 82.3 seconds
Name: -, Instruction: Turn left, Distance: 95.6 meters, Time: 68.8 seconds
Name: -, Instruction: Turn right, Distance: 4.0 meters, Time: 2.9 seconds
Name: Isabella Street, Instruction: Turn left onto Isabella Street, Distance: 189.3 meters, Time: 136.3 seconds
Name: -, Instruction: Turn right, Distance: 303.1 meters, Time: 218.2 seconds
Name: -, Instruction: Turn left, Distance: 12.8 meters, Time: 9.2 seconds
Name: -, Instruction: Keep right, Distance: 14.1 meters, Time: 10.1 seconds
Name: -, Instruction: Turn left, Distance: 24.3 meters, Time: 17.5 seconds
Name: -, Instruction: Turn right, Distance: 74.8 meters, Time: 53.8 seconds
Name: Cumberland Terrace Ground Floor, Instruction: Turn right onto Cumberland Terrace Ground Floor, Distance: 0.3 meters, Time: 0.2 seconds
Name: -, Instruction: Arrive at Cumberland Terrace Ground Floor, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
