Head north on Jarvis Street on Jarvis Street, continue for 12.8 meters and taking about 9.2 seconds.
Turn left, continue for 8.9 meters and taking about 6.4 seconds.
Turn right, continue for 142.4 meters and taking about 102.5 seconds.
Turn left onto Maitland Street on Maitland Street, continue for 156.4 meters and taking about 112.6 seconds.
Turn right, continue for 5.6 meters and taking about 4.0 seconds.
Turn left, continue for 61.4 meters and taking about 44.2 seconds.
Turn right, continue for 302.9 meters and taking about 218.1 seconds.
Keep right, continue for 114.3 meters and taking about 82.3 seconds.
Turn left, continue for 95.6 meters and taking about 68.8 seconds.
Turn right, continue for 4.0 meters and taking about 2.9 seconds.
Turn left onto Isabella Street on Isabella Street, continue for 189.3 meters and taking about 136.3 seconds.
Turn right, continue for 303.1 meters and taking about 218.2 seconds.
Turn left, continue for 12.8 meters and taking about 9.2 seconds.
Keep right, continue for 14.1 meters and taking about 10.1 seconds.
Turn left, continue for 24.3 meters and taking about 17.5 seconds.
Turn right, continue for 74.8 meters and taking about 53.8 seconds.
Turn right onto Cumberland Terrace Ground Floor on Cumberland Terrace Ground Floor, continue for 0.3 meters and taking about 0.2 seconds.
Arrive at Cumberland Terrace Ground Floor, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
