Name: Frankdale Avenue, Instruction: Head north on Frankdale Avenue, Distance: 186.4 meters, Time: 134.2 seconds
Name: -, Instruction: Turn right, Distance: 5.4 meters, Time: 3.9 seconds
Name: -, Instruction: Turn slight left, Distance: 91.0 meters, Time: 65.5 seconds
Name: Memorial Park Avenue, Instruction: Turn right onto Memorial Park Avenue, Distance: 468.5 meters, Time: 337.3 seconds
Name: -, Instruction: Turn left, Distance: 10.7 meters, Time: 7.7 seconds
Name: -, Instruction: Turn right, Distance: 7.6 meters, Time: 5.5 seconds
Name: Roosevelt Road, Instruction: Turn left onto Roosevelt Road, Distance: 192.0 meters, Time: 138.2 seconds
Name: -, Instruction: Turn right, Distance: 16.1 meters, Time: 11.6 seconds
Name: -, Instruction: Turn left, Distance: 16.2 meters, Time: 11.6 seconds
Name: -, Instruction: Turn right, Distance: 60.7 meters, Time: 43.7 seconds
Name: -, Instruction: Keep left, Distance: 195.6 meters, Time: 140.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
